T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.048626	0.000000	0.000000e+00	nan	0.000000e+00
85.000000	0.095629	0.000000	0.000000e+00	nan	0.000000e+00
125.000000	0.142047	0.000000	0.000000e+00	nan	0.000000e+00
165.000000	0.188460	0.000000	0.000000e+00	nan	0.000000e+00
205.000000	0.251568	0.000000	0.000000e+00	nan	0.000000e+00
245.000000	0.300985	0.000000	0.000000e+00	nan	0.000000e+00
285.000000	0.353176	0.000000	0.000000e+00	nan	0.000000e+00
325.000000	0.409083	0.000000	0.000000e+00	nan	0.000000e+00
365.000000	0.490688	0.000000	0.000000e+00	nan	0.000000e+00
405.000000	0.558040	0.000000	0.000000e+00	nan	0.000000e+00
445.000000	0.631005	0.000000	0.000000e+00	nan	0.000000e+00
485.000000	0.736847	0.000000	0.000000e+00	nan	0.000000e+00
525.000000	0.822386	0.000000	0.000000e+00	nan	0.000000e+00
565.000000	0.912551	0.000000	0.000000e+00	nan	0.000000e+00
605.000000	1.006422	0.000000	0.000000e+00	nan	0.000000e+00
645.000000	1.135539	0.000000	0.000000e+00	nan	0.000000e+00
685.000000	1.234107	0.000000	0.000000e+00	nan	0.000000e+00
725.000000	1.333035	0.000000	0.000000e+00	nan	0.000000e+00
765.000000	1.431315	0.000000	0.000000e+00	nan	0.000000e+00
805.000000	1.560196	0.000000	0.000000e+00	nan	0.000000e+00
845.000000	1.654587	0.000000	0.000000e+00	nan	0.000000e+00
885.000000	1.747007	0.000000	0.000000e+00	nan	0.000000e+00
925.000000	1.837599	0.000000	0.000000e+00	nan	0.000000e+00
965.000000	1.956461	0.000000	0.000000e+00	nan	0.000000e+00
1005.000000	2.045092	0.000000	0.000000e+00	nan	0.000000e+00
1045.000000	2.134601	0.000000	0.000000e+00	nan	0.000000e+00
1085.000000	2.226353	0.000000	0.000000e+00	nan	0.000000e+00
1125.000000	2.354650	0.000000	0.000000e+00	nan	0.000000e+00
1165.000000	2.456930	0.000000	0.000000e+00	nan	0.000000e+00
1205.000000	2.565873	0.000000	0.000000e+00	nan	0.000000e+00
1245.000000	2.723754	0.000000	0.000000e+00	nan	0.000000e+00
1285.000000	2.852365	0.000000	0.000000e+00	nan	0.000000e+00
1325.000000	2.990284	0.000000	0.000000e+00	nan	0.000000e+00
1365.000000	3.137706	0.000000	0.000000e+00	nan	0.000000e+00
1405.000000	3.348619	0.000000	0.000000e+00	nan	0.000000e+00
1445.000000	3.516278	0.000000	0.000000e+00	nan	0.000000e+00
1485.000000	3.691228	0.000000	0.000000e+00	nan	0.000000e+00
1525.000000	3.872260	0.000000	0.000000e+00	nan	0.000000e+00
1565.000000	4.121126	0.000000	0.000000e+00	nan	0.000000e+00
1605.000000	4.311080	0.000000	0.000000e+00	nan	0.000000e+00
1645.000000	4.502392	0.000000	0.000000e+00	nan	0.000000e+00
1685.000000	4.693927	0.000000	0.000000e+00	nan	0.000000e+00
1725.000000	4.948285	0.000000	0.000000e+00	nan	0.000000e+00
1765.000000	5.136673	0.000000	0.000000e+00	nan	0.000000e+00
1805.000000	5.322472	0.000000	0.000000e+00	nan	0.000000e+00
1845.000000	5.565853	0.000000	0.000000e+00	nan	0.000000e+00
1885.000000	5.744201	0.000000	0.000000e+00	nan	0.000000e+00
1925.000000	5.918880	0.000000	0.000000e+00	nan	0.000000e+00
1965.000000	6.089778	0.000000	0.000000e+00	nan	0.000000e+00
