Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1725.000000
58.930408	-3231.073486	-3231.073486	-3231.008783	0.000070	0.000120	-3231.128964
59.537941	-3231.107666	-3231.107666	-3231.041594	0.000071	0.000121	-3231.164051
60.145470	-3231.127441	-3231.127441	-3231.059828	0.000073	0.000123	-3231.185033
60.752998	-3231.133789	-3231.133789	-3231.064574	0.000074	0.000125	-3231.192604
61.360531	-3231.127686	-3231.127686	-3231.057000	0.000076	0.000128	-3231.187820
61.968060	-3231.109619	-3231.109619	-3231.037499	0.000077	0.000129	-3231.170705
62.575588	-3231.080322	-3231.080322	-3231.006468	0.000079	0.000131	-3231.142735
63.183121	-3231.040527	-3231.040527	-3230.965018	0.000081	0.000132	-3231.103920
63.790649	-3230.990723	-3230.990723	-3230.913968	0.000082	0.000134	-3231.054899
64.398178	-3230.931641	-3230.931641	-3230.852965	0.000084	0.000138	-3230.997633
