Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):645.000000
58.930408	-3231.073486	-3231.073486	-3231.066179	0.000023	0.000045	-3231.080741
59.537941	-3231.107666	-3231.107666	-3231.100242	0.000023	0.000045	-3231.114996
60.145470	-3231.127441	-3231.127441	-3231.119858	0.000023	0.000046	-3231.134909
60.752998	-3231.133789	-3231.133789	-3231.126048	0.000024	0.000047	-3231.141383
61.360531	-3231.127686	-3231.127686	-3231.119769	0.000024	0.000048	-3231.135463
61.968060	-3231.109619	-3231.109619	-3231.101591	0.000025	0.000048	-3231.117485
62.575588	-3231.080322	-3231.080322	-3231.072123	0.000025	0.000049	-3231.088328
63.183121	-3231.040527	-3231.040527	-3231.032220	0.000025	0.000049	-3231.048607
63.790649	-3230.990723	-3230.990723	-3230.982325	0.000026	0.000050	-3230.998880
64.398178	-3230.931641	-3230.931641	-3230.922997	0.000026	0.000051	-3230.940040
