T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.049329	0.000000	0.000000e+00	nan	0.000000e+00
85.000000	0.098780	0.000000	0.000000e+00	nan	0.000000e+00
125.000000	0.148063	0.000000	0.000000e+00	nan	0.000000e+00
165.000000	0.214624	0.000000	0.000000e+00	nan	0.000000e+00
205.000000	0.266230	0.000000	0.000000e+00	nan	0.000000e+00
245.000000	0.320204	0.000000	0.000000e+00	nan	0.000000e+00
285.000000	0.377483	0.000000	0.000000e+00	nan	0.000000e+00
325.000000	0.460361	0.000000	0.000000e+00	nan	0.000000e+00
365.000000	0.528349	0.000000	0.000000e+00	nan	0.000000e+00
405.000000	0.601834	0.000000	0.000000e+00	nan	0.000000e+00
445.000000	0.680949	0.000000	0.000000e+00	nan	0.000000e+00
485.000000	0.794870	0.000000	0.000000e+00	nan	0.000000e+00
525.000000	0.886306	0.000000	0.000000e+00	nan	0.000000e+00
565.000000	0.982045	0.000000	0.000000e+00	nan	0.000000e+00
605.000000	1.081116	0.000000	0.000000e+00	nan	0.000000e+00
645.000000	1.216839	0.000000	0.000000e+00	nan	0.000000e+00
685.000000	1.320132	0.000000	0.000000e+00	nan	0.000000e+00
725.000000	1.423623	0.000000	0.000000e+00	nan	0.000000e+00
765.000000	1.526582	0.000000	0.000000e+00	nan	0.000000e+00
805.000000	1.662252	0.000000	0.000000e+00	nan	0.000000e+00
845.000000	1.762553	0.000000	0.000000e+00	nan	0.000000e+00
885.000000	1.861885	0.000000	0.000000e+00	nan	0.000000e+00
925.000000	1.993810	0.000000	0.000000e+00	nan	0.000000e+00
965.000000	2.093371	0.000000	0.000000e+00	nan	0.000000e+00
1005.000000	2.195004	0.000000	0.000000e+00	nan	0.000000e+00
1045.000000	2.300004	0.000000	0.000000e+00	nan	0.000000e+00
1085.000000	2.447747	0.000000	0.000000e+00	nan	0.000000e+00
1125.000000	2.565911	0.000000	0.000000e+00	nan	0.000000e+00
1165.000000	2.691766	0.000000	0.000000e+00	nan	0.000000e+00
1205.000000	2.826225	0.000000	0.000000e+00	nan	0.000000e+00
1245.000000	3.020183	0.000000	0.000000e+00	nan	0.000000e+00
1285.000000	3.176558	0.000000	0.000000e+00	nan	0.000000e+00
1325.000000	3.342034	0.000000	0.000000e+00	nan	0.000000e+00
1365.000000	3.516103	0.000000	0.000000e+00	nan	0.000000e+00
1405.000000	3.760077	0.000000	0.000000e+00	nan	0.000000e+00
1445.000000	3.950045	0.000000	0.000000e+00	nan	0.000000e+00
1485.000000	4.144803	0.000000	0.000000e+00	nan	0.000000e+00
1525.000000	4.342694	0.000000	0.000000e+00	nan	0.000000e+00
1565.000000	4.609145	0.000000	0.000000e+00	nan	0.000000e+00
1605.000000	4.809033	0.000000	0.000000e+00	nan	0.000000e+00
1645.000000	5.007741	0.000000	0.000000e+00	nan	0.000000e+00
1685.000000	5.269565	0.000000	0.000000e+00	nan	0.000000e+00
1725.000000	5.462327	0.000000	0.000000e+00	nan	0.000000e+00
1765.000000	5.651624	0.000000	0.000000e+00	nan	0.000000e+00
1805.000000	5.837034	0.000000	0.000000e+00	nan	0.000000e+00
1845.000000	6.078255	0.000000	0.000000e+00	nan	0.000000e+00
1885.000000	6.254027	0.000000	0.000000e+00	nan	0.000000e+00
1925.000000	6.425636	0.000000	0.000000e+00	nan	0.000000e+00
1965.000000	6.593477	0.000000	0.000000e+00	nan	0.000000e+00
