V	E(V)(eV)	ZPE(eV/cell)
58.930408	-3231.073486	0.000000
59.537941	-3231.107666	0.000000
60.145470	-3231.127441	0.000000
60.752998	-3231.133789	0.000000
61.360531	-3231.127686	0.000000
61.968060	-3231.109619	0.000000
62.575588	-3231.080322	0.000000
63.183121	-3231.040527	0.000000
63.790649	-3230.990723	0.000000
64.398178	-3230.931641	0.000000
