Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):565.000000
58.930408	-3231.073486	-3231.073486	-3231.067917	0.000020	0.000039	-3231.079050
59.537941	-3231.107666	-3231.107666	-3231.102010	0.000020	0.000040	-3231.113282
60.145470	-3231.127441	-3231.127441	-3231.121666	0.000020	0.000040	-3231.133161
60.752998	-3231.133789	-3231.133789	-3231.127899	0.000021	0.000041	-3231.139602
61.360531	-3231.127686	-3231.127686	-3231.121660	0.000021	0.000042	-3231.133640
61.968060	-3231.109619	-3231.109619	-3231.103513	0.000021	0.000042	-3231.115640
62.575588	-3231.080322	-3231.080322	-3231.074092	0.000022	0.000043	-3231.086447
63.183121	-3231.040527	-3231.040527	-3231.034222	0.000022	0.000043	-3231.046706
63.790649	-3230.990723	-3230.990723	-3230.984351	0.000022	0.000044	-3230.996960
64.398178	-3230.931641	-3230.931641	-3230.925083	0.000023	0.000045	-3230.938063
