Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):845.000000
58.930408	-3231.073486	-3231.073486	-3231.060620	0.000030	0.000059	-3231.085999
59.537941	-3231.107666	-3231.107666	-3231.094573	0.000030	0.000059	-3231.120327
60.145470	-3231.127441	-3231.127441	-3231.114059	0.000031	0.000060	-3231.140349
60.752998	-3231.133789	-3231.133789	-3231.120103	0.000032	0.000061	-3231.146930
61.360531	-3231.127686	-3231.127686	-3231.113700	0.000032	0.000063	-3231.141138
61.968060	-3231.109619	-3231.109619	-3231.095408	0.000033	0.000063	-3231.123237
62.575588	-3231.080322	-3231.080322	-3231.065784	0.000034	0.000064	-3231.094196
63.183121	-3231.040527	-3231.040527	-3231.025759	0.000034	0.000065	-3231.054548
63.790649	-3230.990723	-3230.990723	-3230.975780	0.000034	0.000065	-3231.004884
64.398178	-3230.931641	-3230.931641	-3230.916262	0.000035	0.000067	-3230.946221
