Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1685.000000
58.930408	-3231.073486	-3231.073486	-3231.012318	0.000068	0.000118	-3231.126217
59.537941	-3231.107666	-3231.107666	-3231.045208	0.000069	0.000118	-3231.161247
60.145470	-3231.127441	-3231.127441	-3231.063527	0.000070	0.000120	-3231.182166
60.752998	-3231.133789	-3231.133789	-3231.068359	0.000072	0.000122	-3231.189672
61.360531	-3231.127686	-3231.127686	-3231.060868	0.000074	0.000125	-3231.184824
61.968060	-3231.109619	-3231.109619	-3231.041453	0.000075	0.000126	-3231.167654
62.575588	-3231.080322	-3231.080322	-3231.010515	0.000077	0.000128	-3231.139614
63.183121	-3231.040527	-3231.040527	-3230.969167	0.000078	0.000129	-3231.100738
63.790649	-3230.990723	-3230.990723	-3230.918202	0.000079	0.000130	-3231.051671
64.398178	-3230.931641	-3230.931641	-3230.857291	0.000081	0.000134	-3230.994320
