T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.049329	0.000000	nan	nan	nan
85.000000	0.098780	0.000000	nan	nan	nan
125.000000	0.148063	0.000000	nan	nan	nan
165.000000	0.214624	0.000000	nan	nan	nan
205.000000	0.266230	0.000000	nan	nan	nan
245.000000	0.320204	0.000000	nan	nan	nan
285.000000	0.377483	0.000000	nan	nan	nan
325.000000	0.460361	0.000000	nan	nan	nan
365.000000	0.528349	0.000000	nan	nan	nan
405.000000	0.601834	0.000000	nan	nan	nan
445.000000	0.680949	0.000000	nan	nan	nan
485.000000	0.794870	0.000000	nan	nan	nan
525.000000	0.886306	0.000000	nan	nan	nan
565.000000	0.982045	0.000000	nan	nan	nan
605.000000	1.081116	0.000000	nan	nan	nan
645.000000	1.216839	0.000000	nan	nan	nan
685.000000	1.320132	0.000000	nan	nan	nan
725.000000	1.423623	0.000000	nan	nan	nan
765.000000	1.526582	0.000000	nan	nan	nan
805.000000	1.662252	0.000000	nan	nan	nan
845.000000	1.762553	0.000000	nan	nan	nan
885.000000	1.861885	0.000000	nan	nan	nan
925.000000	1.993810	0.000000	nan	nan	nan
965.000000	2.093371	0.000000	nan	nan	nan
1005.000000	2.195004	0.000000	nan	nan	nan
1045.000000	2.300004	0.000000	nan	nan	nan
1085.000000	2.447747	0.000000	nan	nan	nan
1125.000000	2.565911	0.000000	nan	nan	nan
1165.000000	2.691766	0.000000	nan	nan	nan
1205.000000	2.826225	0.000000	nan	nan	nan
1245.000000	3.020183	0.000000	nan	nan	nan
1285.000000	3.176558	0.000000	nan	nan	nan
1325.000000	3.342034	0.000000	nan	nan	nan
1365.000000	3.516103	0.000000	nan	nan	nan
1405.000000	3.760077	0.000000	nan	nan	nan
1445.000000	3.950045	0.000000	nan	nan	nan
1485.000000	4.144803	0.000000	nan	nan	nan
1525.000000	4.342694	0.000000	nan	nan	nan
1565.000000	4.609145	0.000000	nan	nan	nan
1605.000000	4.809033	0.000000	nan	nan	nan
1645.000000	5.007741	0.000000	nan	nan	nan
1685.000000	5.269565	0.000000	nan	nan	nan
1725.000000	5.462327	0.000000	nan	nan	nan
1765.000000	5.651624	0.000000	nan	nan	nan
1805.000000	5.837034	0.000000	nan	nan	nan
1845.000000	6.078255	0.000000	nan	nan	nan
1885.000000	6.254027	0.000000	nan	nan	nan
1925.000000	6.425636	0.000000	nan	nan	nan
1965.000000	6.593477	0.000000	nan	nan	nan
