T(K)	A_lat(eV/cell)	A_e(eV/cell)	U_lat(eV/cell)	U_e(eV/cell)	S_lat(eV/cell)	S_e(eV/cell)	Rows
5.000000	0.000000	1.215767e-09	0.000000	1.215767e-09	0.000000	0.000000e+00	0
45.000000	0.000000	-3.215449e-05	0.000000	4.584275e-05	0.000000	1.733272e-06	8
85.000000	0.000000	-1.330164e-04	0.000000	1.472921e-04	0.000000	3.297747e-06	14
125.000000	0.000000	-2.960975e-04	0.000000	3.102307e-04	0.000000	4.850626e-06	20
165.000000	0.000000	-5.215806e-04	0.000000	5.354584e-04	0.000000	6.406297e-06	27
205.000000	0.000000	-8.093015e-04	0.000000	8.232546e-04	0.000000	7.963688e-06	34
245.000000	0.000000	-1.159241e-03	0.000000	1.174056e-03	0.000000	9.523661e-06	40
285.000000	0.000000	-1.571658e-03	0.000000	1.588487e-03	0.000000	1.108823e-05	46
325.000000	0.000000	-2.047173e-03	0.000000	2.067395e-03	0.000000	1.266021e-05	53
365.000000	0.000000	-2.585602e-03	0.000000	2.611855e-03	0.000000	1.423961e-05	60
405.000000	0.000000	-3.187068e-03	0.000000	3.223186e-03	0.000000	1.582779e-05	66
445.000000	0.000000	-3.852225e-03	0.000000	3.902950e-03	0.000000	1.742736e-05	72
485.000000	0.000000	-4.582770e-03	0.000000	4.652935e-03	0.000000	1.904269e-05	80
525.000000	0.000000	-5.377107e-03	0.000000	5.475147e-03	0.000000	2.067096e-05	86
565.000000	0.000000	-6.236888e-03	0.000000	6.371778e-03	0.000000	2.231622e-05	92
605.000000	0.000000	-7.162850e-03	0.000000	7.345180e-03	0.000000	2.398022e-05	98
645.000000	0.000000	-8.157636e-03	0.000000	8.397845e-03	0.000000	2.566741e-05	106
685.000000	0.000000	-9.218632e-03	0.000000	9.532357e-03	0.000000	2.737371e-05	112
725.000000	0.000000	-1.034834e-02	0.000000	1.075138e-02	0.000000	2.910306e-05	118
765.000000	0.000000	-1.154764e-02	0.000000	1.205766e-02	0.000000	3.085660e-05	124
805.000000	0.000000	-1.281991e-02	0.000000	1.345391e-02	0.000000	3.263828e-05	132
845.000000	0.000000	-1.416148e-02	0.000000	1.494290e-02	0.000000	3.444306e-05	138
885.000000	0.000000	-1.557552e-02	0.000000	1.652740e-02	0.000000	3.627449e-05	144
925.000000	0.000000	-1.706452e-02	0.000000	1.821015e-02	0.000000	3.813477e-05	151
965.000000	0.000000	-1.862809e-02	0.000000	1.999391e-02	0.000000	4.002279e-05	158
1005.000000	0.000000	-2.026593e-02	0.000000	2.188140e-02	0.000000	4.193764e-05	164
1045.000000	0.000000	-2.198042e-02	0.000000	2.387535e-02	0.000000	4.388112e-05	170
1085.000000	0.000000	-2.377472e-02	0.000000	2.597846e-02	0.000000	4.585547e-05	177
1125.000000	0.000000	-2.564839e-02	0.000000	2.819347e-02	0.000000	4.785943e-05	184
1165.000000	0.000000	-2.760045e-02	0.000000	3.052313e-02	0.000000	4.989148e-05	190
1205.000000	0.000000	-2.963410e-02	0.000000	3.297013e-02	0.000000	5.195372e-05	196
1245.000000	0.000000	-3.175630e-02	0.000000	3.553725e-02	0.000000	5.405105e-05	204
1285.000000	0.000000	-3.395775e-02	0.000000	3.822728e-02	0.000000	5.617512e-05	210
1325.000000	0.000000	-3.624491e-02	0.000000	4.104299e-02	0.000000	5.833049e-05	216
1365.000000	0.000000	-3.861916e-02	0.000000	4.398726e-02	0.000000	6.051753e-05	222
1405.000000	0.000000	-4.108979e-02	0.000000	4.706296e-02	0.000000	6.274217e-05	230
1445.000000	0.000000	-4.364323e-02	0.000000	5.027300e-02	0.000000	6.499393e-05	236
1485.000000	0.000000	-4.628812e-02	0.000000	5.362028e-02	0.000000	6.727839e-05	242
1525.000000	0.000000	-4.902584e-02	0.000000	5.710784e-02	0.000000	6.959586e-05	248
1565.000000	0.000000	-5.186741e-02	0.000000	6.073863e-02	0.000000	7.195274e-05	256
1605.000000	0.000000	-5.479544e-02	0.000000	6.451568e-02	0.000000	7.433715e-05	262
1645.000000	0.000000	-5.782036e-02	0.000000	6.844202e-02	0.000000	7.675524e-05	268
1685.000000	0.000000	-6.094841e-02	0.000000	7.252074e-02	0.000000	7.921018e-05	275
1725.000000	0.000000	-6.417591e-02	0.000000	7.675493e-02	0.000000	8.169903e-05	282
1765.000000	0.000000	-6.749901e-02	0.000000	8.114758e-02	0.000000	8.421903e-05	288
1805.000000	0.000000	-7.092367e-02	0.000000	8.570193e-02	0.000000	8.677318e-05	294
1845.000000	0.000000	-7.445617e-02	0.000000	9.042083e-02	0.000000	8.936422e-05	301
1885.000000	0.000000	-7.809190e-02	0.000000	9.530753e-02	0.000000	9.198908e-05	308
1925.000000	0.000000	-8.182813e-02	0.000000	1.003649e-01	0.000000	9.464573e-05	314
1965.000000	0.000000	-8.567046e-02	0.000000	1.055961e-01	0.000000	9.733665e-05	320
