Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):205.000000
58.930408	-3231.073486	-3231.073486	-3231.072765	0.000007	0.000014	-3231.074226
59.537941	-3231.107666	-3231.107666	-3231.106928	0.000007	0.000014	-3231.108404
60.145470	-3231.127441	-3231.127441	-3231.126685	0.000007	0.000015	-3231.128189
60.752998	-3231.133789	-3231.133789	-3231.133020	0.000007	0.000015	-3231.134546
61.360531	-3231.127686	-3231.127686	-3231.126897	0.000008	0.000015	-3231.128462
61.968060	-3231.109619	-3231.109619	-3231.108823	0.000008	0.000015	-3231.110404
62.575588	-3231.080322	-3231.080322	-3231.079514	0.000008	0.000016	-3231.081119
63.183121	-3231.040527	-3231.040527	-3231.039712	0.000008	0.000016	-3231.041330
63.790649	-3230.990723	-3230.990723	-3230.989899	0.000008	0.000016	-3230.991532
64.398178	-3230.931641	-3230.931641	-3230.930796	0.000008	0.000016	-3230.932476
