Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1325.000000
58.930408	-3231.073486	-3231.073486	-3231.038672	0.000050	0.000092	-3231.105098
59.537941	-3231.107666	-3231.107666	-3231.072144	0.000051	0.000093	-3231.139736
60.145470	-3231.127441	-3231.127441	-3231.091099	0.000052	0.000095	-3231.160174
60.752998	-3231.133789	-3231.133789	-3231.096574	0.000053	0.000096	-3231.167183
61.360531	-3231.127686	-3231.127686	-3231.089684	0.000054	0.000098	-3231.161840
61.968060	-3231.109619	-3231.109619	-3231.070899	0.000055	0.000099	-3231.144264
62.575588	-3231.080322	-3231.080322	-3231.040661	0.000057	0.000101	-3231.115687
63.183121	-3231.040527	-3231.040527	-3231.000059	0.000058	0.000102	-3231.076371
63.790649	-3230.990723	-3230.990723	-3230.949680	0.000058	0.000103	-3231.026968
64.398178	-3230.931641	-3230.931641	-3230.889485	0.000060	0.000106	-3230.968939
