T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3230.990723	-3230.990723	0.000000	0.000000	0.000000
45.000000	-3230.990755	-3230.990677	0.000002	0.000000	0.000000
85.000000	-3230.990856	-3230.990575	0.000003	0.000000	0.000000
125.000000	-3230.991019	-3230.990412	0.000005	0.000000	0.000000
165.000000	-3230.991244	-3230.990187	0.000006	0.000000	0.000000
205.000000	-3230.991532	-3230.989899	0.000008	0.000000	0.000000
245.000000	-3230.991882	-3230.989549	0.000010	0.000000	0.000000
285.000000	-3230.992294	-3230.989134	0.000011	0.000000	0.000000
325.000000	-3230.992770	-3230.988655	0.000013	0.000000	0.000000
365.000000	-3230.993308	-3230.988111	0.000014	0.000000	0.000000
405.000000	-3230.993910	-3230.987499	0.000016	0.000000	0.000000
445.000000	-3230.994575	-3230.986820	0.000017	0.000000	0.000000
485.000000	-3230.995305	-3230.986070	0.000019	0.000000	0.000000
525.000000	-3230.996100	-3230.985248	0.000021	0.000000	0.000000
565.000000	-3230.996960	-3230.984351	0.000022	0.000000	0.000000
605.000000	-3230.997886	-3230.983377	0.000024	0.000000	0.000000
645.000000	-3230.998880	-3230.982325	0.000026	0.000000	0.000000
685.000000	-3230.999941	-3230.981190	0.000027	0.000000	0.000000
725.000000	-3231.001071	-3230.979971	0.000029	0.000000	0.000000
765.000000	-3231.002270	-3230.978665	0.000031	0.000000	0.000000
805.000000	-3231.003543	-3230.977269	0.000033	0.000000	0.000000
845.000000	-3231.004884	-3230.975780	0.000034	0.000000	0.000000
885.000000	-3231.006298	-3230.974195	0.000036	0.000000	0.000000
925.000000	-3231.007787	-3230.972513	0.000038	0.000000	0.000000
965.000000	-3231.009351	-3230.970729	0.000040	0.000000	0.000000
1005.000000	-3231.010989	-3230.968841	0.000042	0.000000	0.000000
1045.000000	-3231.012703	-3230.966847	0.000044	0.000000	0.000000
1085.000000	-3231.014497	-3230.964744	0.000046	0.000000	0.000000
1125.000000	-3231.016371	-3230.962529	0.000048	0.000000	0.000000
1165.000000	-3231.018323	-3230.960200	0.000050	0.000000	0.000000
1205.000000	-3231.020357	-3230.957753	0.000052	0.000000	0.000000
1245.000000	-3231.022479	-3230.955185	0.000054	0.000000	0.000000
1285.000000	-3231.024680	-3230.952495	0.000056	0.000000	0.000000
1325.000000	-3231.026968	-3230.949680	0.000058	0.000000	0.000000
1365.000000	-3231.029342	-3230.946735	0.000061	0.000000	0.000000
1405.000000	-3231.031812	-3230.943660	0.000063	0.000000	0.000000
1445.000000	-3231.034366	-3230.940450	0.000065	0.000000	0.000000
1485.000000	-3231.037011	-3230.937102	0.000067	0.000000	0.000000
1525.000000	-3231.039748	-3230.933615	0.000070	0.000000	0.000000
1565.000000	-3231.042590	-3230.929984	0.000072	0.000000	0.000000
1605.000000	-3231.045518	-3230.926207	0.000074	0.000000	0.000000
1645.000000	-3231.048543	-3230.922281	0.000077	0.000000	0.000000
1685.000000	-3231.051671	-3230.918202	0.000079	0.000000	0.000000
1725.000000	-3231.054899	-3230.913968	0.000082	0.000000	0.000000
1765.000000	-3231.058222	-3230.909575	0.000084	0.000000	0.000000
1805.000000	-3231.061646	-3230.905021	0.000087	0.000000	0.000000
1845.000000	-3231.065179	-3230.900302	0.000089	0.000000	0.000000
1885.000000	-3231.068815	-3230.895415	0.000092	0.000000	0.000000
1925.000000	-3231.072551	-3230.890358	0.000095	0.000000	0.000000
1965.000000	-3231.076393	-3230.885127	0.000097	0.000000	0.000000
