T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.588363e-02	nan	1.522875
45.000000	3.259725e-01	nan	1.537115
85.000000	6.157259e-01	nan	1.537115
125.000000	9.054793e-01	nan	1.537115
165.000000	1.195233e+00	nan	1.537115
205.000000	1.484986e+00	nan	1.537115
245.000000	1.774739e+00	nan	1.537115
285.000000	2.064493e+00	2.073145e+00	1.537115
325.000000	2.354246e+00	2.370633e+00	1.537115
365.000000	2.643999e+00	2.672378e+00	1.537115
405.000000	2.933753e+00	2.979513e+00	1.537115
445.000000	3.223506e+00	3.293182e+00	1.537115
485.000000	3.513260e+00	3.614497e+00	1.537115
525.000000	3.803013e+00	3.944496e+00	1.537115
565.000000	4.092766e+00	4.284114e+00	1.537115
605.000000	4.382520e+00	4.634164e+00	1.537115
645.000000	4.672273e+00	4.995317e+00	1.537115
685.000000	4.962026e+00	5.368106e+00	1.537115
725.000000	5.251780e+00	5.752927e+00	1.537115
765.000000	5.541533e+00	6.150055e+00	1.537115
805.000000	5.831287e+00	6.559655e+00	1.537115
845.000000	6.121040e+00	6.981804e+00	1.537115
885.000000	6.410793e+00	7.416514e+00	1.537115
925.000000	6.700547e+00	7.863746e+00	1.537115
965.000000	6.990300e+00	8.323434e+00	1.537115
1005.000000	7.280053e+00	8.795500e+00	1.537115
1045.000000	7.569807e+00	9.279867e+00	1.537115
1085.000000	7.859560e+00	9.776469e+00	1.537115
1125.000000	8.149313e+00	1.028526e+01	1.537115
1165.000000	8.439067e+00	1.080623e+01	1.537115
1205.000000	8.728820e+00	1.133938e+01	1.537115
1245.000000	9.018574e+00	1.188475e+01	1.537115
1285.000000	9.308327e+00	1.244240e+01	1.537115
1325.000000	9.598080e+00	1.301242e+01	1.537115
1365.000000	9.887834e+00	1.359493e+01	1.537115
1405.000000	1.017759e+01	1.419005e+01	1.537115
1445.000000	1.046734e+01	1.479791e+01	1.537115
1485.000000	1.075709e+01	1.541866e+01	1.537115
1525.000000	1.104685e+01	1.605243e+01	1.537115
1565.000000	1.133660e+01	1.669938e+01	1.537115
1605.000000	1.162635e+01	1.735962e+01	1.537115
1645.000000	1.191611e+01	1.803326e+01	1.537115
1685.000000	1.220586e+01	1.872043e+01	1.537115
1725.000000	1.249561e+01	1.942118e+01	1.537115
1765.000000	1.278537e+01	2.013558e+01	1.537115
1805.000000	1.307512e+01	2.086366e+01	1.537115
1845.000000	1.336487e+01	2.160543e+01	1.537115
1885.000000	1.365463e+01	2.236087e+01	1.537115
1925.000000	1.394438e+01	2.312995e+01	1.537115
1965.000000	1.423413e+01	2.391258e+01	1.537115
