Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):525.000000
58.930408	-3231.073486	-3231.073486	-3231.068690	0.000018	0.000037	-3231.078289
59.537941	-3231.107666	-3231.107666	-3231.102796	0.000019	0.000037	-3231.112513
60.145470	-3231.127441	-3231.127441	-3231.122470	0.000019	0.000038	-3231.132376
60.752998	-3231.133789	-3231.133789	-3231.128720	0.000019	0.000038	-3231.138804
61.360531	-3231.127686	-3231.127686	-3231.122500	0.000020	0.000039	-3231.132823
61.968060	-3231.109619	-3231.109619	-3231.104366	0.000020	0.000039	-3231.114813
62.575588	-3231.080322	-3231.080322	-3231.074965	0.000020	0.000040	-3231.085604
63.183121	-3231.040527	-3231.040527	-3231.035109	0.000020	0.000040	-3231.045854
63.790649	-3230.990723	-3230.990723	-3230.985248	0.000021	0.000041	-3230.996100
64.398178	-3230.931641	-3230.931641	-3230.926006	0.000021	0.000042	-3230.937178
