T(K)	A_lat(eV/cell)	A_e(eV/cell)	U_lat(eV/cell)	U_e(eV/cell)	S_lat(eV/cell)	S_e(eV/cell)	Rows
5.000000	0.000000	1.941271e-08	0.000000	1.941271e-08	0.000000	0.000000e+00	1
45.000000	0.000000	-3.551976e-05	0.000000	4.495351e-05	0.000000	1.788295e-06	7
85.000000	0.000000	-1.393800e-04	0.000000	1.490566e-04	0.000000	3.393371e-06	14
125.000000	0.000000	-3.072093e-04	0.000000	3.167675e-04	0.000000	4.991815e-06	20
165.000000	0.000000	-5.392910e-04	0.000000	5.485823e-04	0.000000	6.593171e-06	27
205.000000	0.000000	-8.353919e-04	0.000000	8.447991e-04	0.000000	8.196054e-06	34
245.000000	0.000000	-1.195543e-03	0.000000	1.205882e-03	0.000000	9.801737e-06	40
285.000000	0.000000	-1.620006e-03	0.000000	1.632487e-03	0.000000	1.141225e-05	46
325.000000	0.000000	-2.109445e-03	0.000000	2.125502e-03	0.000000	1.303060e-05	53
365.000000	0.000000	-2.663620e-03	0.000000	2.686045e-03	0.000000	1.465662e-05	60
405.000000	0.000000	-3.282716e-03	0.000000	3.315488e-03	0.000000	1.629186e-05	66
445.000000	0.000000	-3.967392e-03	0.000000	4.015443e-03	0.000000	1.793896e-05	72
485.000000	0.000000	-4.719004e-03	0.000000	4.787739e-03	0.000000	1.960153e-05	79
525.000000	0.000000	-5.537141e-03	0.000000	5.634434e-03	0.000000	2.127919e-05	86
565.000000	0.000000	-6.422267e-03	0.000000	6.557748e-03	0.000000	2.297348e-05	92
605.000000	0.000000	-7.376614e-03	0.000000	7.560072e-03	0.000000	2.468874e-05	99
645.000000	0.000000	-8.399001e-03	0.000000	8.643906e-03	0.000000	2.642311e-05	105
685.000000	0.000000	-9.492016e-03	0.000000	9.811866e-03	0.000000	2.818085e-05	112
725.000000	0.000000	-1.065505e-02	0.000000	1.106662e-02	0.000000	2.996092e-05	118
765.000000	0.000000	-1.189104e-02	0.000000	1.241086e-02	0.000000	3.176719e-05	125
805.000000	0.000000	-1.319838e-02	0.000000	1.384734e-02	0.000000	3.359717e-05	131
845.000000	0.000000	-1.458042e-02	0.000000	1.537880e-02	0.000000	3.545469e-05	138
885.000000	0.000000	-1.603592e-02	0.000000	1.700797e-02	0.000000	3.733773e-05	144
925.000000	0.000000	-1.756843e-02	0.000000	1.873759e-02	0.000000	3.924975e-05	151
965.000000	0.000000	-1.917756e-02	0.000000	2.057037e-02	0.000000	4.118957e-05	158
1005.000000	0.000000	-2.086301e-02	0.000000	2.250902e-02	0.000000	4.315624e-05	164
1045.000000	0.000000	-2.262717e-02	0.000000	2.455625e-02	0.000000	4.515160e-05	170
1085.000000	0.000000	-2.447329e-02	0.000000	2.671473e-02	0.000000	4.717790e-05	177
1125.000000	0.000000	-2.640080e-02	0.000000	2.898723e-02	0.000000	4.923381e-05	184
1165.000000	0.000000	-2.840881e-02	0.000000	3.137643e-02	0.000000	5.131780e-05	190
1205.000000	0.000000	-3.050050e-02	0.000000	3.388506e-02	0.000000	5.343200e-05	196
1245.000000	0.000000	-3.268026e-02	0.000000	3.651596e-02	0.000000	5.557929e-05	203
1285.000000	0.000000	-3.494679e-02	0.000000	3.927183e-02	0.000000	5.775768e-05	210
1325.000000	0.000000	-3.729839e-02	0.000000	4.215556e-02	0.000000	5.996525e-05	216
1365.000000	0.000000	-3.974316e-02	0.000000	4.517001e-02	0.000000	6.220745e-05	223
1405.000000	0.000000	-4.227506e-02	0.000000	4.831811e-02	0.000000	6.447912e-05	229
1445.000000	0.000000	-4.490329e-02	0.000000	5.160276e-02	0.000000	6.678619e-05	236
1485.000000	0.000000	-4.762123e-02	0.000000	5.502706e-02	0.000000	6.912343e-05	242
1525.000000	0.000000	-5.043895e-02	0.000000	5.859400e-02	0.000000	7.149702e-05	249
1565.000000	0.000000	-5.334854e-02	0.000000	6.230655e-02	0.000000	7.390102e-05	255
1605.000000	0.000000	-5.636081e-02	0.000000	6.616788e-02	0.000000	7.634186e-05	262
1645.000000	0.000000	-5.946723e-02	0.000000	7.018116e-02	0.000000	7.881361e-05	268
1685.000000	0.000000	-6.267902e-02	0.000000	7.434944e-02	0.000000	8.132253e-05	275
1725.000000	0.000000	-6.599217e-02	0.000000	7.867594e-02	0.000000	8.386557e-05	282
1765.000000	0.000000	-6.940300e-02	0.000000	8.316374e-02	0.000000	8.644008e-05	288
1805.000000	0.000000	-7.291755e-02	0.000000	8.781601e-02	0.000000	8.904906e-05	294
1845.000000	0.000000	-7.654198e-02	0.000000	9.263601e-02	0.000000	9.169538e-05	301
1885.000000	0.000000	-8.027153e-02	0.000000	9.762674e-02	0.000000	9.437574e-05	308
1925.000000	0.000000	-8.410388e-02	0.000000	1.027913e-01	0.000000	9.708840e-05	314
1965.000000	0.000000	-8.804456e-02	0.000000	1.081328e-01	0.000000	9.983581e-05	320
