T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3230.990723	0.000000e+00	-3230.990723
45.000000	-3230.990755	1.733272e-06	-3230.990677
85.000000	-3230.990856	3.297747e-06	-3230.990575
125.000000	-3230.991019	4.850626e-06	-3230.990412
165.000000	-3230.991244	6.406297e-06	-3230.990187
205.000000	-3230.991532	7.963688e-06	-3230.989899
245.000000	-3230.991882	9.523661e-06	-3230.989549
285.000000	-3230.992294	1.108823e-05	-3230.989134
325.000000	-3230.992770	1.266021e-05	-3230.988655
365.000000	-3230.993308	1.423961e-05	-3230.988111
405.000000	-3230.993910	1.582779e-05	-3230.987499
445.000000	-3230.994575	1.742736e-05	-3230.986820
485.000000	-3230.995305	1.904269e-05	-3230.986070
525.000000	-3230.996100	2.067096e-05	-3230.985248
565.000000	-3230.996960	2.231622e-05	-3230.984351
605.000000	-3230.997886	2.398022e-05	-3230.983377
645.000000	-3230.998880	2.566741e-05	-3230.982325
685.000000	-3230.999941	2.737371e-05	-3230.981190
725.000000	-3231.001071	2.910306e-05	-3230.979971
765.000000	-3231.002270	3.085660e-05	-3230.978665
805.000000	-3231.003543	3.263828e-05	-3230.977269
845.000000	-3231.004884	3.444306e-05	-3230.975780
885.000000	-3231.006298	3.627449e-05	-3230.974195
925.000000	-3231.007787	3.813477e-05	-3230.972513
965.000000	-3231.009351	4.002279e-05	-3230.970729
1005.000000	-3231.010989	4.193764e-05	-3230.968841
1045.000000	-3231.012703	4.388112e-05	-3230.966847
1085.000000	-3231.014497	4.585547e-05	-3230.964744
1125.000000	-3231.016371	4.785943e-05	-3230.962529
1165.000000	-3231.018323	4.989148e-05	-3230.960200
1205.000000	-3231.020357	5.195372e-05	-3230.957753
1245.000000	-3231.022479	5.405105e-05	-3230.955185
1285.000000	-3231.024680	5.617512e-05	-3230.952495
1325.000000	-3231.026968	5.833049e-05	-3230.949680
1365.000000	-3231.029342	6.051753e-05	-3230.946735
1405.000000	-3231.031812	6.274217e-05	-3230.943660
1445.000000	-3231.034366	6.499393e-05	-3230.940450
1485.000000	-3231.037011	6.727839e-05	-3230.937102
1525.000000	-3231.039748	6.959586e-05	-3230.933615
1565.000000	-3231.042590	7.195274e-05	-3230.929984
1605.000000	-3231.045518	7.433715e-05	-3230.926207
1645.000000	-3231.048543	7.675524e-05	-3230.922281
1685.000000	-3231.051671	7.921018e-05	-3230.918202
1725.000000	-3231.054899	8.169903e-05	-3230.913968
1765.000000	-3231.058222	8.421903e-05	-3230.909575
1805.000000	-3231.061646	8.677318e-05	-3230.905021
1845.000000	-3231.065179	8.936422e-05	-3230.900302
1885.000000	-3231.068815	9.198908e-05	-3230.895415
1925.000000	-3231.072551	9.464573e-05	-3230.890358
1965.000000	-3231.076393	9.733665e-05	-3230.885127
