Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1245.000000
58.930408	-3231.073486	-3231.073486	-3231.043293	0.000047	0.000087	-3231.101233
59.537941	-3231.107666	-3231.107666	-3231.076868	0.000047	0.000088	-3231.135807
60.145470	-3231.127441	-3231.127441	-3231.095934	0.000048	0.000089	-3231.156159
60.752998	-3231.133789	-3231.133789	-3231.101525	0.000049	0.000090	-3231.163081
61.360531	-3231.127686	-3231.127686	-3231.094738	0.000051	0.000092	-3231.157648
61.968060	-3231.109619	-3231.109619	-3231.076060	0.000051	0.000093	-3231.140003
62.575588	-3231.080322	-3231.080322	-3231.045948	0.000053	0.000095	-3231.111326
63.183121	-3231.040527	-3231.040527	-3231.005473	0.000053	0.000095	-3231.071939
63.790649	-3230.990723	-3230.990723	-3230.955185	0.000054	0.000096	-3231.022479
64.398178	-3230.931641	-3230.931641	-3230.895125	0.000056	0.000099	-3230.964321
