T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.073485	0.000000e+00	-3231.073485
45.000000	-3231.073530	1.574204e-06	-3231.073459
85.000000	-3231.073620	2.956771e-06	-3231.073369
125.000000	-3231.073767	4.349433e-06	-3231.073223
165.000000	-3231.073969	5.739074e-06	-3231.073022
205.000000	-3231.074226	7.127583e-06	-3231.072765
245.000000	-3231.074540	8.515927e-06	-3231.072453
285.000000	-3231.074908	9.904392e-06	-3231.072086
325.000000	-3231.075333	1.129237e-05	-3231.071663
365.000000	-3231.075812	1.268184e-05	-3231.071183
405.000000	-3231.076348	1.407472e-05	-3231.070647
445.000000	-3231.076939	1.547247e-05	-3231.070054
485.000000	-3231.077586	1.687478e-05	-3231.069402
525.000000	-3231.078289	1.828447e-05	-3231.068690
565.000000	-3231.079050	1.970554e-05	-3231.067917
605.000000	-3231.079867	2.113537e-05	-3231.067080
645.000000	-3231.080741	2.257771e-05	-3231.066179
685.000000	-3231.081674	2.403418e-05	-3231.065210
725.000000	-3231.082667	2.550892e-05	-3231.064173
765.000000	-3231.083717	2.699822e-05	-3231.063063
805.000000	-3231.084827	2.850580e-05	-3231.061880
845.000000	-3231.085999	3.003392e-05	-3231.060620
885.000000	-3231.087233	3.158282e-05	-3231.059282
925.000000	-3231.088528	3.315147e-05	-3231.057863
965.000000	-3231.089886	3.474204e-05	-3231.056359
1005.000000	-3231.091308	3.635644e-05	-3231.054770
1045.000000	-3231.092796	3.799401e-05	-3231.053092
1085.000000	-3231.094348	3.965378e-05	-3231.051324
1125.000000	-3231.095966	4.133745e-05	-3231.049462
1165.000000	-3231.097655	4.304826e-05	-3231.047504
1205.000000	-3231.099410	4.478091e-05	-3231.045449
1245.000000	-3231.101233	4.653841e-05	-3231.043293
1285.000000	-3231.103127	4.832102e-05	-3231.041035
1325.000000	-3231.105098	5.013262e-05	-3231.038672
1365.000000	-3231.107136	5.196646e-05	-3231.036202
1405.000000	-3231.109248	5.382610e-05	-3231.033623
1445.000000	-3231.111439	5.571385e-05	-3231.030932
1485.000000	-3231.113706	5.762828e-05	-3231.028128
1525.000000	-3231.116047	5.956695e-05	-3231.025207
1565.000000	-3231.118466	6.153228e-05	-3231.022168
1605.000000	-3231.120969	6.352694e-05	-3231.019009
1645.000000	-3231.123554	6.554912e-05	-3231.015726
1685.000000	-3231.126217	6.759586e-05	-3231.012318
1725.000000	-3231.128964	6.966997e-05	-3231.008783
1765.000000	-3231.131799	7.177442e-05	-3231.005117
1805.000000	-3231.134721	7.390657e-05	-3231.001320
1845.000000	-3231.137724	7.606364e-05	-3230.997387
1885.000000	-3231.140815	7.824843e-05	-3230.993317
1925.000000	-3231.144005	8.046632e-05	-3230.989107
1965.000000	-3231.147274	8.270660e-05	-3230.984756
