Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):45.000000
58.930408	-3231.073486	-3231.073486	-3231.073459	0.000002	0.000003	-3231.073530
59.537941	-3231.107666	-3231.107666	-3231.107629	0.000002	0.000003	-3231.107700
60.145470	-3231.127441	-3231.127441	-3231.127400	0.000002	0.000003	-3231.127472
60.752998	-3231.133789	-3231.133789	-3231.133746	0.000002	0.000003	-3231.133819
61.360531	-3231.127686	-3231.127686	-3231.127642	0.000002	0.000003	-3231.127716
61.968060	-3231.109619	-3231.109619	-3231.109575	0.000002	0.000003	-3231.109651
62.575588	-3231.080322	-3231.080322	-3231.080278	0.000002	0.000003	-3231.080355
63.183121	-3231.040527	-3231.040527	-3231.040482	0.000002	0.000003	-3231.040559
63.790649	-3230.990723	-3230.990723	-3230.990677	0.000002	0.000003	-3230.990755
64.398178	-3230.931641	-3230.931641	-3230.931596	0.000002	0.000004	-3230.931676
