Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):685.000000
58.930408	-3231.073486	-3231.073486	-3231.065210	0.000024	0.000048	-3231.081674
59.537941	-3231.107666	-3231.107666	-3231.099255	0.000024	0.000048	-3231.115941
60.145470	-3231.127441	-3231.127441	-3231.118849	0.000025	0.000049	-3231.135873
60.752998	-3231.133789	-3231.133789	-3231.125014	0.000025	0.000050	-3231.142365
61.360531	-3231.127686	-3231.127686	-3231.118714	0.000026	0.000051	-3231.136468
61.968060	-3231.109619	-3231.109619	-3231.100516	0.000026	0.000051	-3231.118504
62.575588	-3231.080322	-3231.080322	-3231.071022	0.000027	0.000052	-3231.089366
63.183121	-3231.040527	-3231.040527	-3231.031100	0.000027	0.000053	-3231.049657
63.790649	-3230.990723	-3230.990723	-3230.981190	0.000027	0.000053	-3230.999941
64.398178	-3230.931641	-3230.931641	-3230.921829	0.000028	0.000055	-3230.941133
