T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3231.080322	-3231.080322	0.000000	0.000000	0.000000
45.000000	-3231.080355	-3231.080278	0.000002	0.000000	0.000000
85.000000	-3231.080454	-3231.080178	0.000003	0.000000	0.000000
125.000000	-3231.080614	-3231.080018	0.000005	0.000000	0.000000
165.000000	-3231.080836	-3231.079796	0.000006	0.000000	0.000000
205.000000	-3231.081119	-3231.079514	0.000008	0.000000	0.000000
245.000000	-3231.081463	-3231.079169	0.000009	0.000000	0.000000
285.000000	-3231.081869	-3231.078763	0.000011	0.000000	0.000000
325.000000	-3231.082336	-3231.078293	0.000012	0.000000	0.000000
365.000000	-3231.082865	-3231.077760	0.000014	0.000000	0.000000
405.000000	-3231.083456	-3231.077163	0.000016	0.000000	0.000000
445.000000	-3231.084109	-3231.076499	0.000017	0.000000	0.000000
485.000000	-3231.084825	-3231.075767	0.000019	0.000000	0.000000
525.000000	-3231.085604	-3231.074965	0.000020	0.000000	0.000000
565.000000	-3231.086447	-3231.074092	0.000022	0.000000	0.000000
605.000000	-3231.087354	-3231.073146	0.000023	0.000000	0.000000
645.000000	-3231.088328	-3231.072123	0.000025	0.000000	0.000000
685.000000	-3231.089366	-3231.071022	0.000027	0.000000	0.000000
725.000000	-3231.090471	-3231.069841	0.000028	0.000000	0.000000
765.000000	-3231.091644	-3231.068575	0.000030	0.000000	0.000000
805.000000	-3231.092886	-3231.067224	0.000032	0.000000	0.000000
845.000000	-3231.094196	-3231.065784	0.000034	0.000000	0.000000
885.000000	-3231.095577	-3231.064253	0.000035	0.000000	0.000000
925.000000	-3231.097029	-3231.062629	0.000037	0.000000	0.000000
965.000000	-3231.098554	-3231.060908	0.000039	0.000000	0.000000
1005.000000	-3231.100150	-3231.059088	0.000041	0.000000	0.000000
1045.000000	-3231.101820	-3231.057166	0.000043	0.000000	0.000000
1085.000000	-3231.103567	-3231.055141	0.000045	0.000000	0.000000
1125.000000	-3231.105391	-3231.053009	0.000047	0.000000	0.000000
1165.000000	-3231.107289	-3231.050767	0.000049	0.000000	0.000000
1205.000000	-3231.109267	-3231.048415	0.000050	0.000000	0.000000
1245.000000	-3231.111326	-3231.045948	0.000053	0.000000	0.000000
1285.000000	-3231.113467	-3231.043364	0.000055	0.000000	0.000000
1325.000000	-3231.115687	-3231.040661	0.000057	0.000000	0.000000
1365.000000	-3231.117991	-3231.037836	0.000059	0.000000	0.000000
1405.000000	-3231.120387	-3231.034886	0.000061	0.000000	0.000000
1445.000000	-3231.122862	-3231.031809	0.000063	0.000000	0.000000
1485.000000	-3231.125425	-3231.028601	0.000065	0.000000	0.000000
1525.000000	-3231.128081	-3231.025261	0.000067	0.000000	0.000000
1565.000000	-3231.130828	-3231.021785	0.000070	0.000000	0.000000
1605.000000	-3231.133662	-3231.018171	0.000072	0.000000	0.000000
1645.000000	-3231.136588	-3231.014415	0.000074	0.000000	0.000000
1685.000000	-3231.139614	-3231.010515	0.000077	0.000000	0.000000
1725.000000	-3231.142735	-3231.006468	0.000079	0.000000	0.000000
1765.000000	-3231.145948	-3231.002271	0.000081	0.000000	0.000000
1805.000000	-3231.149258	-3230.997921	0.000084	0.000000	0.000000
1845.000000	-3231.152671	-3230.993415	0.000086	0.000000	0.000000
1885.000000	-3231.156184	-3230.988750	0.000089	0.000000	0.000000
1925.000000	-3231.159792	-3230.983924	0.000091	0.000000	0.000000
1965.000000	-3231.163502	-3230.978933	0.000094	0.000000	0.000000
