Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):5.000000
58.930408	-3231.073486	-3231.073486	-3231.073485	0.000000	0.000000	-3231.073485
59.537941	-3231.107666	-3231.107666	-3231.107666	0.000000	0.000000	-3231.107666
60.145470	-3231.127441	-3231.127441	-3231.127441	0.000000	0.000000	-3231.127441
60.752998	-3231.133789	-3231.133789	-3231.133789	0.000000	0.000000	-3231.133789
61.360531	-3231.127686	-3231.127686	-3231.127686	0.000000	0.000000	-3231.127686
61.968060	-3231.109619	-3231.109619	-3231.109619	0.000000	0.000000	-3231.109619
62.575588	-3231.080322	-3231.080322	-3231.080322	0.000000	0.000000	-3231.080322
63.183121	-3231.040527	-3231.040527	-3231.040527	0.000000	0.000000	-3231.040527
63.790649	-3230.990723	-3230.990723	-3230.990723	0.000000	0.000000	-3230.990723
64.398178	-3230.931641	-3230.931641	-3230.931641	0.000000	0.000000	-3230.931641
