T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.739473e-02	nan	1.587005
45.000000	3.465230e-01	nan	1.634020
85.000000	6.545434e-01	nan	1.634020
125.000000	9.625638e-01	nan	1.634020
165.000000	1.270584e+00	nan	1.634020
205.000000	1.578605e+00	nan	1.634020
245.000000	1.886625e+00	nan	1.634020
285.000000	2.194645e+00	2.216651e+00	1.634020
325.000000	2.502666e+00	2.539420e+00	1.634020
365.000000	2.810686e+00	2.868196e+00	1.634020
405.000000	3.118707e+00	3.204156e+00	1.634020
445.000000	3.426727e+00	3.548441e+00	1.634020
485.000000	3.734748e+00	3.902111e+00	1.634020
525.000000	4.042768e+00	4.266115e+00	1.634020
565.000000	4.350788e+00	4.641272e+00	1.634020
605.000000	4.658809e+00	5.028253e+00	1.634020
645.000000	4.966829e+00	5.427583e+00	1.634020
685.000000	5.274850e+00	5.839648e+00	1.634020
725.000000	5.582870e+00	6.264705e+00	1.634020
765.000000	5.890890e+00	6.702908e+00	1.634020
805.000000	6.198911e+00	7.154324e+00	1.634020
845.000000	6.506931e+00	7.618959e+00	1.634020
885.000000	6.814952e+00	8.096782e+00	1.634020
925.000000	7.122972e+00	8.587743e+00	1.634020
965.000000	7.430992e+00	9.091789e+00	1.634020
1005.000000	7.739013e+00	9.608881e+00	1.634020
1045.000000	8.047033e+00	1.013900e+01	1.634020
1085.000000	8.355054e+00	1.068217e+01	1.634020
1125.000000	8.663074e+00	1.123842e+01	1.634020
1165.000000	8.971095e+00	1.180784e+01	1.634020
1205.000000	9.279115e+00	1.239055e+01	1.634020
1245.000000	9.587135e+00	1.298667e+01	1.634020
1285.000000	9.895156e+00	1.359637e+01	1.634020
1325.000000	1.020318e+01	1.421984e+01	1.634020
1365.000000	1.051120e+01	1.485727e+01	1.634020
1405.000000	1.081922e+01	1.550884e+01	1.634020
1445.000000	1.112724e+01	1.617476e+01	1.634020
1485.000000	1.143526e+01	1.685521e+01	1.634020
1525.000000	1.174328e+01	1.755036e+01	1.634020
1565.000000	1.205130e+01	1.826037e+01	1.634020
1605.000000	1.235932e+01	1.898536e+01	1.634020
1645.000000	1.266734e+01	1.972544e+01	1.634020
1685.000000	1.297536e+01	2.048068e+01	1.634020
1725.000000	1.328338e+01	2.125113e+01	1.634020
1765.000000	1.359140e+01	2.203679e+01	1.634020
1805.000000	1.389942e+01	2.283765e+01	1.634020
1845.000000	1.420744e+01	2.365364e+01	1.634020
1885.000000	1.451546e+01	2.448468e+01	1.634020
1925.000000	1.482348e+01	2.533064e+01	1.634020
1965.000000	1.513150e+01	2.619136e+01	1.634020
