Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1565.000000
58.930408	-3231.073486	-3231.073486	-3231.022168	0.000062	0.000109	-3231.118466
59.537941	-3231.107666	-3231.107666	-3231.055276	0.000063	0.000110	-3231.153350
60.145470	-3231.127441	-3231.127441	-3231.073833	0.000064	0.000112	-3231.174095
60.752998	-3231.133789	-3231.133789	-3231.078902	0.000066	0.000113	-3231.181417
61.360531	-3231.127686	-3231.127686	-3231.071639	0.000067	0.000116	-3231.176388
61.968060	-3231.109619	-3231.109619	-3231.052464	0.000068	0.000117	-3231.159066
62.575588	-3231.080322	-3231.080322	-3231.021785	0.000070	0.000119	-3231.130828
63.183121	-3231.040527	-3231.040527	-3230.980719	0.000071	0.000120	-3231.091785
63.790649	-3230.990723	-3230.990723	-3230.929984	0.000072	0.000121	-3231.042590
64.398178	-3230.931641	-3230.931641	-3230.869334	0.000074	0.000125	-3230.984989
