Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1965.000000
58.930408	-3231.073486	-3231.073486	-3230.984756	0.000083	0.000137	-3231.147274
59.537941	-3231.107666	-3231.107666	-3231.017030	0.000084	0.000138	-3231.182709
60.145470	-3231.127441	-3231.127441	-3231.034682	0.000086	0.000141	-3231.204113
60.752998	-3231.133789	-3231.133789	-3231.038848	0.000088	0.000142	-3231.212110
61.360531	-3231.127686	-3231.127686	-3231.030697	0.000090	0.000146	-3231.207751
61.968060	-3231.109619	-3231.109619	-3231.010593	0.000092	0.000147	-3231.191006
62.575588	-3231.080322	-3231.080322	-3230.978933	0.000094	0.000150	-3231.163502
63.183121	-3231.040527	-3231.040527	-3230.936785	0.000096	0.000151	-3231.125096
63.790649	-3230.990723	-3230.990723	-3230.885127	0.000097	0.000152	-3231.076393
64.398178	-3230.931641	-3230.931641	-3230.823508	0.000100	0.000157	-3231.019685
