Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1845.000000
58.930408	-3231.073486	-3231.073486	-3230.997387	0.000076	0.000129	-3231.137724
59.537941	-3231.107666	-3231.107666	-3231.029944	0.000078	0.000130	-3231.172974
60.145470	-3231.127441	-3231.127441	-3231.047903	0.000079	0.000132	-3231.194159
60.752998	-3231.133789	-3231.133789	-3231.052374	0.000081	0.000134	-3231.201942
61.360531	-3231.127686	-3231.127686	-3231.044529	0.000083	0.000137	-3231.197361
61.968060	-3231.109619	-3231.109619	-3231.024744	0.000084	0.000138	-3231.180417
62.575588	-3231.080322	-3231.080322	-3230.993415	0.000086	0.000140	-3231.152671
63.183121	-3231.040527	-3231.040527	-3230.951635	0.000088	0.000141	-3231.114049
63.790649	-3230.990723	-3230.990723	-3230.900302	0.000089	0.000143	-3231.065179
64.398178	-3230.931641	-3230.931641	-3230.839005	0.000092	0.000147	-3231.008183
