Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):605.000000
58.930408	-3231.073486	-3231.073486	-3231.067080	0.000021	0.000042	-3231.079867
59.537941	-3231.107666	-3231.107666	-3231.101159	0.000021	0.000043	-3231.114110
60.145470	-3231.127441	-3231.127441	-3231.120797	0.000022	0.000043	-3231.134005
60.752998	-3231.133789	-3231.133789	-3231.127008	0.000022	0.000044	-3231.140461
61.360531	-3231.127686	-3231.127686	-3231.120751	0.000023	0.000045	-3231.134519
61.968060	-3231.109619	-3231.109619	-3231.102589	0.000023	0.000045	-3231.116530
62.575588	-3231.080322	-3231.080322	-3231.073146	0.000023	0.000046	-3231.087354
63.183121	-3231.040527	-3231.040527	-3231.033260	0.000024	0.000046	-3231.047622
63.790649	-3230.990723	-3230.990723	-3230.983377	0.000024	0.000047	-3230.997886
64.398178	-3230.931641	-3230.931641	-3230.924081	0.000025	0.000048	-3230.939017
