T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.704247e-02	nan	1.572055
45.000000	3.365526e-01	nan	1.587005
85.000000	6.357105e-01	nan	1.587005
125.000000	9.348683e-01	nan	1.587005
165.000000	1.234026e+00	nan	1.587005
205.000000	1.533184e+00	nan	1.587005
245.000000	1.832342e+00	nan	1.587005
285.000000	2.131500e+00	2.153315e+00	1.587005
325.000000	2.430658e+00	2.466656e+00	1.587005
365.000000	2.729816e+00	2.785774e+00	1.587005
405.000000	3.028973e+00	3.111840e+00	1.587005
445.000000	3.328131e+00	3.445994e+00	1.587005
485.000000	3.627289e+00	3.789312e+00	1.587005
525.000000	3.926447e+00	4.142768e+00	1.587005
565.000000	4.225605e+00	4.507214e+00	1.587005
605.000000	4.524763e+00	4.883362e+00	1.587005
645.000000	4.823921e+00	5.271779e+00	1.587005
685.000000	5.123078e+00	5.672894e+00	1.587005
725.000000	5.422236e+00	6.087009e+00	1.587005
765.000000	5.721394e+00	6.514313e+00	1.587005
805.000000	6.020552e+00	6.954906e+00	1.587005
845.000000	6.319710e+00	7.408818e+00	1.587005
885.000000	6.618868e+00	7.876034e+00	1.587005
925.000000	6.918026e+00	8.356509e+00	1.587005
965.000000	7.217184e+00	8.850189e+00	1.587005
1005.000000	7.516341e+00	9.357024e+00	1.587005
1045.000000	7.815499e+00	9.876980e+00	1.587005
1085.000000	8.114657e+00	1.041005e+01	1.587005
1125.000000	8.413815e+00	1.095624e+01	1.587005
1165.000000	8.712973e+00	1.151561e+01	1.587005
1205.000000	9.012131e+00	1.208822e+01	1.587005
1245.000000	9.311289e+00	1.267419e+01	1.587005
1285.000000	9.610446e+00	1.327363e+01	1.587005
1325.000000	9.909604e+00	1.388669e+01	1.587005
1365.000000	1.020876e+01	1.451352e+01	1.587005
1405.000000	1.050792e+01	1.515429e+01	1.587005
1445.000000	1.080708e+01	1.580916e+01	1.587005
1485.000000	1.110624e+01	1.647828e+01	1.587005
1525.000000	1.140539e+01	1.716180e+01	1.587005
1565.000000	1.170455e+01	1.785986e+01	1.587005
1605.000000	1.200371e+01	1.857256e+01	1.587005
1645.000000	1.230287e+01	1.929999e+01	1.587005
1685.000000	1.260203e+01	2.004222e+01	1.587005
1725.000000	1.290118e+01	2.079927e+01	1.587005
1765.000000	1.320034e+01	2.157117e+01	1.587005
1805.000000	1.349950e+01	2.235787e+01	1.587005
1845.000000	1.379866e+01	2.315933e+01	1.587005
1885.000000	1.409781e+01	2.397546e+01	1.587005
1925.000000	1.439697e+01	2.480613e+01	1.587005
1965.000000	1.469613e+01	2.565121e+01	1.587005
