T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3230.931641	0.000000e+00	-3230.931641
45.000000	-3230.931676	1.788295e-06	-3230.931596
85.000000	-3230.931780	3.393371e-06	-3230.931492
125.000000	-3230.931948	4.991815e-06	-3230.931324
165.000000	-3230.932180	6.593171e-06	-3230.931092
205.000000	-3230.932476	8.196054e-06	-3230.930796
245.000000	-3230.932836	9.801737e-06	-3230.930435
285.000000	-3230.933261	1.141225e-05	-3230.930008
325.000000	-3230.933750	1.303060e-05	-3230.929515
365.000000	-3230.934304	1.465662e-05	-3230.928955
405.000000	-3230.934923	1.629186e-05	-3230.928325
445.000000	-3230.935608	1.793896e-05	-3230.927625
485.000000	-3230.936360	1.960153e-05	-3230.926853
525.000000	-3230.937178	2.127919e-05	-3230.926006
565.000000	-3230.938063	2.297348e-05	-3230.925083
605.000000	-3230.939017	2.468874e-05	-3230.924081
645.000000	-3230.940040	2.642311e-05	-3230.922997
685.000000	-3230.941133	2.818085e-05	-3230.921829
725.000000	-3230.942296	2.996092e-05	-3230.920574
765.000000	-3230.943532	3.176719e-05	-3230.919230
805.000000	-3230.944839	3.359717e-05	-3230.917793
845.000000	-3230.946221	3.545469e-05	-3230.916262
885.000000	-3230.947677	3.733773e-05	-3230.914633
925.000000	-3230.949209	3.924975e-05	-3230.912903
965.000000	-3230.950818	4.118957e-05	-3230.911070
1005.000000	-3230.952504	4.315624e-05	-3230.909132
1045.000000	-3230.954268	4.515160e-05	-3230.907084
1085.000000	-3230.956114	4.717790e-05	-3230.904926
1125.000000	-3230.958041	4.923381e-05	-3230.902653
1165.000000	-3230.960049	5.131780e-05	-3230.900264
1205.000000	-3230.962141	5.343200e-05	-3230.897756
1245.000000	-3230.964321	5.557929e-05	-3230.895125
1285.000000	-3230.966587	5.775768e-05	-3230.892369
1325.000000	-3230.968939	5.996525e-05	-3230.889485
1365.000000	-3230.971384	6.220745e-05	-3230.886471
1405.000000	-3230.973916	6.447912e-05	-3230.883323
1445.000000	-3230.976544	6.678619e-05	-3230.880038
1485.000000	-3230.979262	6.912343e-05	-3230.876614
1525.000000	-3230.982080	7.149702e-05	-3230.873047
1565.000000	-3230.984989	7.390102e-05	-3230.869334
1605.000000	-3230.988001	7.634186e-05	-3230.865473
1645.000000	-3230.991108	7.881361e-05	-3230.861459
1685.000000	-3230.994320	8.132253e-05	-3230.857291
1725.000000	-3230.997633	8.386557e-05	-3230.852965
1765.000000	-3231.001044	8.644008e-05	-3230.848477
1805.000000	-3231.004558	8.904906e-05	-3230.843825
1845.000000	-3231.008183	9.169538e-05	-3230.839005
1885.000000	-3231.011912	9.437574e-05	-3230.834014
1925.000000	-3231.015745	9.708840e-05	-3230.828849
1965.000000	-3231.019685	9.983581e-05	-3230.823508
