Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):445.000000
58.930408	-3231.073486	-3231.073486	-3231.070054	0.000015	0.000031	-3231.076939
59.537941	-3231.107666	-3231.107666	-3231.104182	0.000016	0.000031	-3231.111146
60.145470	-3231.127441	-3231.127441	-3231.123884	0.000016	0.000032	-3231.130983
60.752998	-3231.133789	-3231.133789	-3231.130166	0.000016	0.000032	-3231.137385
61.360531	-3231.127686	-3231.127686	-3231.123977	0.000017	0.000033	-3231.131371
61.968060	-3231.109619	-3231.109619	-3231.105866	0.000017	0.000033	-3231.113343
62.575588	-3231.080322	-3231.080322	-3231.076499	0.000017	0.000034	-3231.084109
63.183121	-3231.040527	-3231.040527	-3231.036663	0.000017	0.000034	-3231.044344
63.790649	-3230.990723	-3230.990723	-3230.986820	0.000017	0.000034	-3230.994575
64.398178	-3230.931641	-3230.931641	-3230.927625	0.000018	0.000035	-3230.935608
