T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.107666	0.000000e+00	-3231.107666
45.000000	-3231.107700	1.580853e-06	-3231.107629
85.000000	-3231.107792	2.986489e-06	-3231.107538
125.000000	-3231.107940	4.391396e-06	-3231.107391
165.000000	-3231.108144	5.796861e-06	-3231.107187
205.000000	-3231.108404	7.200265e-06	-3231.106928
245.000000	-3231.108720	8.604175e-06	-3231.106612
285.000000	-3231.109093	1.000882e-05	-3231.106240
325.000000	-3231.109522	1.141385e-05	-3231.105812
365.000000	-3231.110007	1.282197e-05	-3231.105327
405.000000	-3231.110548	1.423322e-05	-3231.104784
445.000000	-3231.111146	1.565104e-05	-3231.104182
485.000000	-3231.111801	1.707457e-05	-3231.103520
525.000000	-3231.112513	1.850741e-05	-3231.102796
565.000000	-3231.113282	1.994991e-05	-3231.102010
605.000000	-3231.114110	2.140604e-05	-3231.101159
645.000000	-3231.114996	2.287441e-05	-3231.100242
685.000000	-3231.115941	2.435907e-05	-3231.099255
725.000000	-3231.116946	2.585965e-05	-3231.098197
765.000000	-3231.118012	2.737998e-05	-3231.097066
805.000000	-3231.119138	2.891808e-05	-3231.095859
845.000000	-3231.120327	3.047773e-05	-3231.094573
885.000000	-3231.121578	3.205758e-05	-3231.093207
925.000000	-3231.122894	3.366095e-05	-3231.091757
965.000000	-3231.124272	3.528563e-05	-3231.090222
1005.000000	-3231.125718	3.693496e-05	-3231.088598
1045.000000	-3231.127229	3.860812e-05	-3231.086883
1085.000000	-3231.128806	4.030419e-05	-3231.085076
1125.000000	-3231.130453	4.202629e-05	-3231.083173
1165.000000	-3231.132166	4.377190e-05	-3231.081172
1205.000000	-3231.133952	4.554420e-05	-3231.079071
1245.000000	-3231.135807	4.734053e-05	-3231.076868
1285.000000	-3231.137736	4.916439e-05	-3231.074560
1325.000000	-3231.139736	5.101250e-05	-3231.072144
1365.000000	-3231.141813	5.288887e-05	-3231.069620
1405.000000	-3231.143963	5.478976e-05	-3231.066983
1445.000000	-3231.146193	5.671946e-05	-3231.064233
1485.000000	-3231.148498	5.867398e-05	-3231.061367
1525.000000	-3231.150885	6.065822e-05	-3231.058382
1565.000000	-3231.153350	6.266730e-05	-3231.055276
1605.000000	-3231.155900	6.470647e-05	-3231.052046
1645.000000	-3231.158534	6.677372e-05	-3231.048691
1685.000000	-3231.161247	6.886614e-05	-3231.045208
1725.000000	-3231.164051	7.098940e-05	-3231.041594
1765.000000	-3231.166936	7.313812e-05	-3231.037847
1805.000000	-3231.169913	7.531789e-05	-3231.033964
1845.000000	-3231.172974	7.752321e-05	-3231.029944
1885.000000	-3231.176130	7.975966e-05	-3231.025783
1925.000000	-3231.179371	8.202171e-05	-3231.021479
1965.000000	-3231.182709	8.431476e-05	-3231.017030
