Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1925.000000
58.930408	-3231.073486	-3231.073486	-3230.989107	0.000080	0.000134	-3231.144005
59.537941	-3231.107666	-3231.107666	-3231.021479	0.000082	0.000135	-3231.179371
60.145470	-3231.127441	-3231.127441	-3231.039237	0.000084	0.000138	-3231.200700
60.752998	-3231.133789	-3231.133789	-3231.043508	0.000086	0.000140	-3231.208625
61.360531	-3231.127686	-3231.127686	-3231.035463	0.000088	0.000143	-3231.204191
61.968060	-3231.109619	-3231.109619	-3231.015470	0.000089	0.000144	-3231.187379
62.575588	-3231.080322	-3231.080322	-3230.983924	0.000091	0.000147	-3231.159792
63.183121	-3231.040527	-3231.040527	-3230.941903	0.000093	0.000148	-3231.121312
63.790649	-3230.990723	-3230.990723	-3230.890358	0.000095	0.000149	-3231.072551
64.398178	-3230.931641	-3230.931641	-3230.828849	0.000097	0.000153	-3231.015745
