T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	0.000000e+00	nan	0.000000
45.000000	3.031413e-01	nan	1.429455
85.000000	5.726003e-01	nan	1.429455
125.000000	8.420592e-01	nan	1.429455
165.000000	1.111518e+00	nan	1.429455
205.000000	1.380977e+00	nan	1.429455
245.000000	1.650436e+00	nan	1.429455
285.000000	1.919895e+00	1.906039e+00	1.429455
325.000000	2.189354e+00	2.175320e+00	1.429455
365.000000	2.458813e+00	2.447072e+00	1.429455
405.000000	2.728272e+00	2.722324e+00	1.429455
445.000000	2.997731e+00	3.002164e+00	1.429455
485.000000	3.267190e+00	3.287699e+00	1.429455
525.000000	3.536649e+00	3.580011e+00	1.429455
565.000000	3.806108e+00	3.880122e+00	1.429455
605.000000	4.075567e+00	4.188963e+00	1.429455
645.000000	4.345026e+00	4.507353e+00	1.429455
685.000000	4.614485e+00	4.835981e+00	1.429455
725.000000	4.883944e+00	5.175407e+00	1.429455
765.000000	5.153402e+00	5.526058e+00	1.429455
805.000000	5.422861e+00	5.888238e+00	1.429455
845.000000	5.692320e+00	6.262140e+00	1.429455
885.000000	5.961779e+00	6.647862e+00	1.429455
925.000000	6.231238e+00	7.045424e+00	1.429455
965.000000	6.500697e+00	7.454782e+00	1.429455
1005.000000	6.770156e+00	7.875850e+00	1.429455
1045.000000	7.039615e+00	8.308513e+00	1.429455
1085.000000	7.309074e+00	8.752640e+00	1.429455
1125.000000	7.578533e+00	9.208099e+00	1.429455
1165.000000	7.847992e+00	9.674763e+00	1.429455
1205.000000	8.117451e+00	1.015252e+01	1.429455
1245.000000	8.386910e+00	1.064129e+01	1.429455
1285.000000	8.656369e+00	1.114098e+01	1.429455
1325.000000	8.925828e+00	1.165157e+01	1.429455
1365.000000	9.195287e+00	1.217303e+01	1.429455
1405.000000	9.464746e+00	1.270536e+01	1.429455
1445.000000	9.734205e+00	1.324860e+01	1.429455
1485.000000	1.000366e+01	1.380278e+01	1.429455
1525.000000	1.027312e+01	1.436796e+01	1.429455
1565.000000	1.054258e+01	1.494421e+01	1.429455
1605.000000	1.081204e+01	1.553162e+01	1.429455
1645.000000	1.108150e+01	1.613026e+01	1.429455
1685.000000	1.135096e+01	1.674022e+01	1.429455
1725.000000	1.162042e+01	1.736157e+01	1.429455
1765.000000	1.188988e+01	1.799438e+01	1.429455
1805.000000	1.215934e+01	1.863873e+01	1.429455
1845.000000	1.242879e+01	1.929466e+01	1.429455
1885.000000	1.269825e+01	1.996221e+01	1.429455
1925.000000	1.296771e+01	2.064140e+01	1.429455
1965.000000	1.323717e+01	2.133224e+01	1.429455
