Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1045.000000
58.930408	-3231.073486	-3231.073486	-3231.053092	0.000038	0.000073	-3231.092796
59.537941	-3231.107666	-3231.107666	-3231.086883	0.000039	0.000073	-3231.127229
60.145470	-3231.127441	-3231.127441	-3231.106188	0.000039	0.000075	-3231.147395
60.752998	-3231.133789	-3231.133789	-3231.112031	0.000040	0.000076	-3231.154124
61.360531	-3231.127686	-3231.127686	-3231.105461	0.000041	0.000078	-3231.148493
61.968060	-3231.109619	-3231.109619	-3231.087005	0.000042	0.000078	-3231.130701
62.575588	-3231.080322	-3231.080322	-3231.057166	0.000043	0.000080	-3231.101820
63.183121	-3231.040527	-3231.040527	-3231.016953	0.000043	0.000080	-3231.062280
63.790649	-3230.990723	-3230.990723	-3230.966847	0.000044	0.000081	-3231.012703
64.398178	-3230.931641	-3230.931641	-3230.907084	0.000045	0.000083	-3230.954268
