Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1445.000000
58.930408	-3231.073486	-3231.073486	-3231.030932	0.000056	0.000101	-3231.111439
59.537941	-3231.107666	-3231.107666	-3231.064233	0.000057	0.000102	-3231.146193
60.145470	-3231.127441	-3231.127441	-3231.083001	0.000058	0.000103	-3231.166774
60.752998	-3231.133789	-3231.133789	-3231.088285	0.000059	0.000105	-3231.173931
61.360531	-3231.127686	-3231.127686	-3231.081221	0.000061	0.000107	-3231.168737
61.968060	-3231.109619	-3231.109619	-3231.062255	0.000062	0.000108	-3231.151279
62.575588	-3231.080322	-3231.080322	-3231.031809	0.000063	0.000110	-3231.122862
63.183121	-3231.040527	-3231.040527	-3230.990991	0.000064	0.000111	-3231.083672
63.790649	-3230.990723	-3230.990723	-3230.940450	0.000065	0.000112	-3231.034366
64.398178	-3230.931641	-3230.931641	-3230.880038	0.000067	0.000115	-3230.976544
