Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):85.000000
58.930408	-3231.073486	-3231.073486	-3231.073369	0.000003	0.000006	-3231.073620
59.537941	-3231.107666	-3231.107666	-3231.107538	0.000003	0.000006	-3231.107792
60.145470	-3231.127441	-3231.127441	-3231.127307	0.000003	0.000006	-3231.127565
60.752998	-3231.133789	-3231.133789	-3231.133651	0.000003	0.000006	-3231.133913
61.360531	-3231.127686	-3231.127686	-3231.127544	0.000003	0.000006	-3231.127813
61.968060	-3231.109619	-3231.109619	-3231.109477	0.000003	0.000006	-3231.109749
62.575588	-3231.080322	-3231.080322	-3231.080178	0.000003	0.000006	-3231.080454
63.183121	-3231.040527	-3231.040527	-3231.040382	0.000003	0.000007	-3231.040659
63.790649	-3230.990723	-3230.990723	-3230.990575	0.000003	0.000007	-3230.990856
64.398178	-3230.931641	-3230.931641	-3230.931492	0.000003	0.000007	-3230.931780
