Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):285.000000
58.930408	-3231.073486	-3231.073486	-3231.072086	0.000010	0.000020	-3231.074908
59.537941	-3231.107666	-3231.107666	-3231.106240	0.000010	0.000020	-3231.109093
60.145470	-3231.127441	-3231.127441	-3231.125984	0.000010	0.000020	-3231.128890
60.752998	-3231.133789	-3231.133789	-3231.132307	0.000010	0.000021	-3231.135259
61.360531	-3231.127686	-3231.127686	-3231.126167	0.000011	0.000021	-3231.129192
61.968060	-3231.109619	-3231.109619	-3231.108085	0.000011	0.000021	-3231.111141
62.575588	-3231.080322	-3231.080322	-3231.078763	0.000011	0.000022	-3231.081869
63.183121	-3231.040527	-3231.040527	-3231.038954	0.000011	0.000022	-3231.042085
63.790649	-3230.990723	-3230.990723	-3230.989134	0.000011	0.000022	-3230.992294
64.398178	-3230.931641	-3230.931641	-3230.930008	0.000011	0.000023	-3230.933261
