T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.453971e-02	nan	1.465840
45.000000	3.151295e-01	nan	1.485985
85.000000	5.952446e-01	nan	1.485985
125.000000	8.753598e-01	nan	1.485985
165.000000	1.155475e+00	nan	1.485985
205.000000	1.435590e+00	nan	1.485985
245.000000	1.715705e+00	nan	1.485985
285.000000	1.995820e+00	2.001492e+00	1.485985
325.000000	2.275935e+00	2.288110e+00	1.485985
365.000000	2.556050e+00	2.578566e+00	1.485985
405.000000	2.836166e+00	2.873933e+00	1.485985
445.000000	3.116281e+00	3.175307e+00	1.485985
485.000000	3.396396e+00	3.483761e+00	1.485985
525.000000	3.676511e+00	3.800311e+00	1.485985
565.000000	3.956626e+00	4.125884e+00	1.485985
605.000000	4.236741e+00	4.461291e+00	1.485985
645.000000	4.516856e+00	4.807218e+00	1.485985
685.000000	4.796971e+00	5.164213e+00	1.485985
725.000000	5.077087e+00	5.532696e+00	1.485985
765.000000	5.357202e+00	5.912961e+00	1.485985
805.000000	5.637317e+00	6.305191e+00	1.485985
845.000000	5.917432e+00	6.709477e+00	1.485985
885.000000	6.197547e+00	7.125837e+00	1.485985
925.000000	6.477662e+00	7.554229e+00	1.485985
965.000000	6.757777e+00	7.994577e+00	1.485985
1005.000000	7.037892e+00	8.446782e+00	1.485985
1045.000000	7.318008e+00	8.910741e+00	1.485985
1085.000000	7.598123e+00	9.386354e+00	1.485985
1125.000000	7.878238e+00	9.873538e+00	1.485985
1165.000000	8.158353e+00	1.037223e+01	1.485985
1205.000000	8.438468e+00	1.088240e+01	1.485985
1245.000000	8.718583e+00	1.140402e+01	1.485985
1285.000000	8.998698e+00	1.193714e+01	1.485985
1325.000000	9.278813e+00	1.248178e+01	1.485985
1365.000000	9.558929e+00	1.303803e+01	1.485985
1405.000000	9.839044e+00	1.360597e+01	1.485985
1445.000000	1.011916e+01	1.418571e+01	1.485985
1485.000000	1.039927e+01	1.477737e+01	1.485985
1525.000000	1.067939e+01	1.538109e+01	1.485985
1565.000000	1.095950e+01	1.599698e+01	1.485985
1605.000000	1.123962e+01	1.662517e+01	1.485985
1645.000000	1.151973e+01	1.726580e+01	1.485985
1685.000000	1.179985e+01	1.791896e+01	1.485985
1725.000000	1.207996e+01	1.858476e+01	1.485985
1765.000000	1.236008e+01	1.926327e+01	1.485985
1805.000000	1.264019e+01	1.995456e+01	1.485985
1845.000000	1.292031e+01	2.065868e+01	1.485985
1885.000000	1.320043e+01	2.137564e+01	1.485985
1925.000000	1.348054e+01	2.210544e+01	1.485985
1965.000000	1.376066e+01	2.284806e+01	1.485985
