T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.038173	0.000000	nan	nan	nan
85.000000	0.081617	0.000000	nan	nan	nan
125.000000	0.137971	0.000000	nan	nan	nan
165.000000	0.179773	0.000000	nan	nan	nan
205.000000	0.221898	0.000000	nan	nan	nan
245.000000	0.265182	0.000000	nan	nan	nan
285.000000	0.326191	0.000000	nan	nan	nan
325.000000	0.375779	0.000000	nan	nan	nan
365.000000	0.429568	0.000000	nan	nan	nan
405.000000	0.488279	0.000000	nan	nan	nan
445.000000	0.574943	0.000000	nan	nan	nan
485.000000	0.646631	0.000000	nan	nan	nan
525.000000	0.723839	0.000000	nan	nan	nan
565.000000	0.834608	0.000000	nan	nan	nan
605.000000	0.922820	0.000000	nan	nan	nan
645.000000	1.014294	0.000000	nan	nan	nan
685.000000	1.108041	0.000000	nan	nan	nan
725.000000	1.234610	0.000000	nan	nan	nan
765.000000	1.329663	0.000000	nan	nan	nan
805.000000	1.423670	0.000000	nan	nan	nan
845.000000	1.515944	0.000000	nan	nan	nan
885.000000	1.635568	0.000000	nan	nan	nan
925.000000	1.722573	0.000000	nan	nan	nan
965.000000	1.807384	0.000000	nan	nan	nan
1005.000000	1.890364	0.000000	nan	nan	nan
1045.000000	1.999287	0.000000	nan	nan	nan
1085.000000	2.080701	0.000000	nan	nan	nan
1125.000000	2.163230	0.000000	nan	nan	nan
1165.000000	2.277245	0.000000	nan	nan	nan
1205.000000	2.367198	0.000000	nan	nan	nan
1245.000000	2.462452	0.000000	nan	nan	nan
1285.000000	2.564168	0.000000	nan	nan	nan
1325.000000	2.711870	0.000000	nan	nan	nan
1365.000000	2.832425	0.000000	nan	nan	nan
1405.000000	2.961938	0.000000	nan	nan	nan
1445.000000	3.100521	0.000000	nan	nan	nan
1485.000000	3.299169	0.000000	nan	nan	nan
1525.000000	3.457463	0.000000	nan	nan	nan
1565.000000	3.622895	0.000000	nan	nan	nan
1605.000000	3.794359	0.000000	nan	nan	nan
1645.000000	4.030644	0.000000	nan	nan	nan
1685.000000	4.211389	0.000000	nan	nan	nan
1725.000000	4.393749	0.000000	nan	nan	nan
1765.000000	4.576564	0.000000	nan	nan	nan
1805.000000	4.819524	0.000000	nan	nan	nan
1845.000000	4.999736	0.000000	nan	nan	nan
1885.000000	5.177578	0.000000	nan	nan	nan
1925.000000	5.410604	0.000000	nan	nan	nan
1965.000000	5.581449	0.000000	nan	nan	nan
