T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.501439e-02	nan	1.485985
45.000000	3.229527e-01	nan	1.522875
85.000000	6.100218e-01	nan	1.522875
125.000000	8.970908e-01	nan	1.522875
165.000000	1.184160e+00	nan	1.522875
205.000000	1.471229e+00	nan	1.522875
245.000000	1.758298e+00	nan	1.522875
285.000000	2.045367e+00	2.048866e+00	1.522875
325.000000	2.332436e+00	2.341468e+00	1.522875
365.000000	2.619505e+00	2.637832e+00	1.522875
405.000000	2.906574e+00	2.939081e+00	1.522875
445.000000	3.193643e+00	3.246360e+00	1.522875
485.000000	3.480712e+00	3.560790e+00	1.522875
525.000000	3.767781e+00	3.883434e+00	1.522875
565.000000	4.054850e+00	4.215255e+00	1.522875
605.000000	4.341920e+00	4.557099e+00	1.522875
645.000000	4.628989e+00	4.909675e+00	1.522875
685.000000	4.916058e+00	5.273554e+00	1.522875
725.000000	5.203127e+00	5.649166e+00	1.522875
765.000000	5.490196e+00	6.036818e+00	1.522875
805.000000	5.777265e+00	6.436702e+00	1.522875
845.000000	6.064334e+00	6.848915e+00	1.522875
885.000000	6.351403e+00	7.273480e+00	1.522875
925.000000	6.638472e+00	7.710366e+00	1.522875
965.000000	6.925541e+00	8.159506e+00	1.522875
1005.000000	7.212610e+00	8.620814e+00	1.522875
1045.000000	7.499679e+00	9.094200e+00	1.522875
1085.000000	7.786748e+00	9.579580e+00	1.522875
1125.000000	8.073817e+00	1.007689e+01	1.522875
1165.000000	8.360886e+00	1.058608e+01	1.522875
1205.000000	8.647955e+00	1.110714e+01	1.522875
1245.000000	8.935025e+00	1.164008e+01	1.522875
1285.000000	9.222094e+00	1.218494e+01	1.522875
1325.000000	9.509163e+00	1.274178e+01	1.522875
1365.000000	9.796232e+00	1.331069e+01	1.522875
1405.000000	1.008330e+01	1.389177e+01	1.522875
1445.000000	1.037037e+01	1.448515e+01	1.522875
1485.000000	1.065744e+01	1.509094e+01	1.522875
1525.000000	1.094451e+01	1.570928e+01	1.522875
1565.000000	1.123158e+01	1.634031e+01	1.522875
1605.000000	1.151865e+01	1.698415e+01	1.522875
1645.000000	1.180572e+01	1.764091e+01	1.522875
1685.000000	1.209278e+01	1.831070e+01	1.522875
1725.000000	1.237985e+01	1.899361e+01	1.522875
1765.000000	1.266692e+01	1.968970e+01	1.522875
1805.000000	1.295399e+01	2.039903e+01	1.522875
1845.000000	1.324106e+01	2.112162e+01	1.522875
1885.000000	1.352813e+01	2.185747e+01	1.522875
1925.000000	1.381520e+01	2.260656e+01	1.522875
1965.000000	1.410227e+01	2.336883e+01	1.522875
