T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.127686	0.000000e+00	-3231.127686
45.000000	-3231.127716	1.663736e-06	-3231.127642
85.000000	-3231.127813	3.165136e-06	-3231.127544
125.000000	-3231.127970	4.654292e-06	-3231.127388
165.000000	-3231.128186	6.143667e-06	-3231.127172
205.000000	-3231.128462	7.633582e-06	-3231.126897
245.000000	-3231.128797	9.122699e-06	-3231.126562
285.000000	-3231.129192	1.061311e-05	-3231.126167
325.000000	-3231.129647	1.210663e-05	-3231.125712
365.000000	-3231.130162	1.360454e-05	-3231.125196
405.000000	-3231.130736	1.510652e-05	-3231.124618
445.000000	-3231.131371	1.661538e-05	-3231.123977
485.000000	-3231.132067	1.813514e-05	-3231.123271
525.000000	-3231.132823	1.966330e-05	-3231.122500
565.000000	-3231.133640	2.120373e-05	-3231.121660
605.000000	-3231.134519	2.275816e-05	-3231.120751
645.000000	-3231.135463	2.433098e-05	-3231.119769
685.000000	-3231.136468	2.591858e-05	-3231.118714
725.000000	-3231.137537	2.752489e-05	-3231.117582
765.000000	-3231.138671	2.915118e-05	-3231.116370
805.000000	-3231.139872	3.080139e-05	-3231.115077
845.000000	-3231.141138	3.247098e-05	-3231.113700
885.000000	-3231.142471	3.416348e-05	-3231.112236
925.000000	-3231.143872	3.588091e-05	-3231.110683
965.000000	-3231.145343	3.762279e-05	-3231.109037
1005.000000	-3231.146883	3.938800e-05	-3231.107298
1045.000000	-3231.148493	4.117843e-05	-3231.105461
1085.000000	-3231.150176	4.299602e-05	-3231.103526
1125.000000	-3231.151932	4.483976e-05	-3231.101488
1165.000000	-3231.153761	4.670836e-05	-3231.099346
1205.000000	-3231.155664	4.860364e-05	-3231.097097
1245.000000	-3231.157648	5.052979e-05	-3231.094738
1285.000000	-3231.159705	5.247973e-05	-3231.092269
1325.000000	-3231.161840	5.445729e-05	-3231.089684
1365.000000	-3231.164055	5.646283e-05	-3231.086983
1405.000000	-3231.166358	5.850148e-05	-3231.084163
1445.000000	-3231.168737	6.056411e-05	-3231.081221
1485.000000	-3231.171199	6.265559e-05	-3231.078155
1525.000000	-3231.173750	6.477883e-05	-3231.074962
1565.000000	-3231.176388	6.693191e-05	-3231.071639
1605.000000	-3231.179109	6.911181e-05	-3231.068185
1645.000000	-3231.181919	7.132157e-05	-3231.064595
1685.000000	-3231.184824	7.356433e-05	-3231.060868
1725.000000	-3231.187820	7.583740e-05	-3231.057000
1765.000000	-3231.190903	7.813791e-05	-3231.052990
1805.000000	-3231.194080	8.046887e-05	-3231.048834
1845.000000	-3231.197361	8.283584e-05	-3231.044529
1885.000000	-3231.200728	8.522785e-05	-3231.040073
1925.000000	-3231.204191	8.765047e-05	-3231.035463
1965.000000	-3231.207751	9.010370e-05	-3231.030697
