T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.127441	0.000000e+00	-3231.127441
45.000000	-3231.127472	1.602067e-06	-3231.127400
85.000000	-3231.127565	3.042135e-06	-3231.127307
125.000000	-3231.127716	4.473110e-06	-3231.127157
165.000000	-3231.127924	5.904717e-06	-3231.126949
205.000000	-3231.128189	7.335373e-06	-3231.126685
245.000000	-3231.128511	8.765430e-06	-3231.126363
285.000000	-3231.128890	1.019624e-05	-3231.125984
325.000000	-3231.129327	1.162992e-05	-3231.125548
365.000000	-3231.129822	1.306621e-05	-3231.125053
405.000000	-3231.130373	1.450616e-05	-3231.124498
445.000000	-3231.130983	1.595195e-05	-3231.123884
485.000000	-3231.131650	1.740671e-05	-3231.123208
525.000000	-3231.132376	1.887022e-05	-3231.122470
565.000000	-3231.133161	2.034405e-05	-3231.121666
605.000000	-3231.134005	2.183224e-05	-3231.120797
645.000000	-3231.134909	2.333435e-05	-3231.119858
685.000000	-3231.135873	2.485169e-05	-3231.118849
725.000000	-3231.136898	2.638658e-05	-3231.117768
765.000000	-3231.137986	2.794194e-05	-3231.116610
805.000000	-3231.139136	2.951692e-05	-3231.115375
845.000000	-3231.140349	3.111191e-05	-3231.114059
885.000000	-3231.141626	3.272888e-05	-3231.112661
925.000000	-3231.142969	3.437000e-05	-3231.111177
965.000000	-3231.144378	3.603437e-05	-3231.109605
1005.000000	-3231.145853	3.772141e-05	-3231.107943
1045.000000	-3231.147395	3.943282e-05	-3231.106188
1085.000000	-3231.149007	4.117041e-05	-3231.104337
1125.000000	-3231.150689	4.293332e-05	-3231.102389
1165.000000	-3231.152440	4.472025e-05	-3231.100341
1205.000000	-3231.154262	4.653294e-05	-3231.098190
1245.000000	-3231.156159	4.837339e-05	-3231.095934
1285.000000	-3231.158130	5.024044e-05	-3231.093571
1325.000000	-3231.160174	5.213227e-05	-3231.091099
1365.000000	-3231.162297	5.405306e-05	-3231.088515
1405.000000	-3231.164498	5.600108e-05	-3231.085816
1445.000000	-3231.166774	5.797434e-05	-3231.083001
1485.000000	-3231.169130	5.997516e-05	-3231.080067
1525.000000	-3231.171572	6.200638e-05	-3231.077012
1565.000000	-3231.174095	6.406563e-05	-3231.073833
1605.000000	-3231.176699	6.615064e-05	-3231.070527
1645.000000	-3231.179387	6.826406e-05	-3231.067093
1685.000000	-3231.182166	7.040894e-05	-3231.063527
1725.000000	-3231.185033	7.258260e-05	-3231.059828
1765.000000	-3231.187983	7.478233e-05	-3231.055993
1805.000000	-3231.191023	7.701100e-05	-3231.052018
1845.000000	-3231.194159	7.927145e-05	-3231.047903
1885.000000	-3231.197386	8.156093e-05	-3231.043643
1925.000000	-3231.200700	8.387669e-05	-3231.039237
1965.000000	-3231.204113	8.622410e-05	-3231.034682
