Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1205.000000
58.930408	-3231.073486	-3231.073486	-3231.045449	0.000045	0.000084	-3231.099410
59.537941	-3231.107666	-3231.107666	-3231.079071	0.000046	0.000085	-3231.133952
60.145470	-3231.127441	-3231.127441	-3231.098190	0.000047	0.000086	-3231.154262
60.752998	-3231.133789	-3231.133789	-3231.103835	0.000048	0.000087	-3231.161140
61.360531	-3231.127686	-3231.127686	-3231.097097	0.000049	0.000090	-3231.155664
61.968060	-3231.109619	-3231.109619	-3231.078467	0.000049	0.000090	-3231.137986
62.575588	-3231.080322	-3231.080322	-3231.048415	0.000050	0.000092	-3231.109267
63.183121	-3231.040527	-3231.040527	-3231.007999	0.000051	0.000092	-3231.069843
63.790649	-3230.990723	-3230.990723	-3230.957753	0.000052	0.000093	-3231.020357
64.398178	-3230.931641	-3230.931641	-3230.897756	0.000053	0.000096	-3230.962141
