Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1405.000000
58.930408	-3231.073486	-3231.073486	-3231.033623	0.000054	0.000098	-3231.109248
59.537941	-3231.107666	-3231.107666	-3231.066983	0.000055	0.000099	-3231.143963
60.145470	-3231.127441	-3231.127441	-3231.085816	0.000056	0.000100	-3231.164498
60.752998	-3231.133789	-3231.133789	-3231.091166	0.000057	0.000102	-3231.171603
61.360531	-3231.127686	-3231.127686	-3231.084163	0.000059	0.000104	-3231.166358
61.968060	-3231.109619	-3231.109619	-3231.065260	0.000060	0.000105	-3231.148859
62.575588	-3231.080322	-3231.080322	-3231.034886	0.000061	0.000107	-3231.120387
63.183121	-3231.040527	-3231.040527	-3230.994144	0.000062	0.000108	-3231.081153
63.790649	-3230.990723	-3230.990723	-3230.943660	0.000063	0.000109	-3231.031812
64.398178	-3230.931641	-3230.931641	-3230.883323	0.000064	0.000112	-3230.973916
