T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.368237e-02	nan	1.429455
45.000000	3.055801e-01	nan	1.440955
85.000000	5.772069e-01	nan	1.440955
125.000000	8.488336e-01	nan	1.440955
165.000000	1.120460e+00	nan	1.440955
205.000000	1.392087e+00	nan	1.440955
245.000000	1.663714e+00	nan	1.440955
285.000000	1.935341e+00	1.928889e+00	1.440955
325.000000	2.206967e+00	2.202748e+00	1.440955
365.000000	2.478594e+00	2.479582e+00	1.440955
405.000000	2.750221e+00	2.760444e+00	1.440955
445.000000	3.021848e+00	3.046437e+00	1.440955
485.000000	3.293474e+00	3.338667e+00	1.440955
525.000000	3.565101e+00	3.638203e+00	1.440955
565.000000	3.836728e+00	3.946039e+00	1.440955
605.000000	4.108355e+00	4.263072e+00	1.440955
645.000000	4.379981e+00	4.590074e+00	1.440955
685.000000	4.651608e+00	4.927690e+00	1.440955
725.000000	4.923235e+00	5.276426e+00	1.440955
765.000000	5.194862e+00	5.636660e+00	1.440955
805.000000	5.466488e+00	6.008648e+00	1.440955
845.000000	5.738115e+00	6.392540e+00	1.440955
885.000000	6.009742e+00	6.788397e+00	1.440955
925.000000	6.281369e+00	7.196205e+00	1.440955
965.000000	6.552996e+00	7.615901e+00	1.440955
1005.000000	6.824622e+00	8.047381e+00	1.440955
1045.000000	7.096249e+00	8.490522e+00	1.440955
1085.000000	7.367876e+00	8.945195e+00	1.440955
1125.000000	7.639503e+00	9.411273e+00	1.440955
1165.000000	7.911129e+00	9.888643e+00	1.440955
1205.000000	8.182756e+00	1.037721e+01	1.440955
1245.000000	8.454383e+00	1.087690e+01	1.440955
1285.000000	8.726010e+00	1.138768e+01	1.440955
1325.000000	8.997636e+00	1.190951e+01	1.440955
1365.000000	9.269263e+00	1.244242e+01	1.440955
1405.000000	9.540890e+00	1.298643e+01	1.440955
1445.000000	9.812517e+00	1.354159e+01	1.440955
1485.000000	1.008414e+01	1.410798e+01	1.440955
1525.000000	1.035577e+01	1.468566e+01	1.440955
1565.000000	1.062740e+01	1.527474e+01	1.440955
1605.000000	1.089902e+01	1.587532e+01	1.440955
1645.000000	1.117065e+01	1.648748e+01	1.440955
1685.000000	1.144228e+01	1.711132e+01	1.440955
1725.000000	1.171390e+01	1.774693e+01	1.440955
1765.000000	1.198553e+01	1.839440e+01	1.440955
1805.000000	1.225716e+01	1.905378e+01	1.440955
1845.000000	1.252878e+01	1.972513e+01	1.440955
1885.000000	1.280041e+01	2.040849e+01	1.440955
1925.000000	1.307204e+01	2.110388e+01	1.440955
1965.000000	1.334366e+01	2.181129e+01	1.440955
