Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1085.000000
58.930408	-3231.073486	-3231.073486	-3231.051324	0.000040	0.000076	-3231.094348
59.537941	-3231.107666	-3231.107666	-3231.085076	0.000040	0.000076	-3231.128806
60.145470	-3231.127441	-3231.127441	-3231.104337	0.000041	0.000078	-3231.149007
60.752998	-3231.133789	-3231.133789	-3231.110134	0.000042	0.000079	-3231.155772
61.360531	-3231.127686	-3231.127686	-3231.103526	0.000043	0.000081	-3231.150176
61.968060	-3231.109619	-3231.109619	-3231.085030	0.000044	0.000081	-3231.132411
62.575588	-3231.080322	-3231.080322	-3231.055141	0.000045	0.000083	-3231.103567
63.183121	-3231.040527	-3231.040527	-3231.014882	0.000045	0.000083	-3231.064053
63.790649	-3230.990723	-3230.990723	-3230.964744	0.000046	0.000084	-3231.014497
64.398178	-3230.931641	-3230.931641	-3230.904926	0.000047	0.000086	-3230.956114
