T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3231.040527	-3231.040527	0.000000	0.000000	0.000000
45.000000	-3231.040559	-3231.040482	0.000002	0.000000	0.000000
85.000000	-3231.040659	-3231.040382	0.000003	0.000000	0.000000
125.000000	-3231.040821	-3231.040220	0.000005	0.000000	0.000000
165.000000	-3231.041044	-3231.039997	0.000006	0.000000	0.000000
205.000000	-3231.041330	-3231.039712	0.000008	0.000000	0.000000
245.000000	-3231.041676	-3231.039364	0.000009	0.000000	0.000000
285.000000	-3231.042085	-3231.038954	0.000011	0.000000	0.000000
325.000000	-3231.042556	-3231.038480	0.000013	0.000000	0.000000
365.000000	-3231.043090	-3231.037941	0.000014	0.000000	0.000000
405.000000	-3231.043685	-3231.037336	0.000016	0.000000	0.000000
445.000000	-3231.044344	-3231.036663	0.000017	0.000000	0.000000
485.000000	-3231.045068	-3231.035922	0.000019	0.000000	0.000000
525.000000	-3231.045854	-3231.035109	0.000020	0.000000	0.000000
565.000000	-3231.046706	-3231.034222	0.000022	0.000000	0.000000
605.000000	-3231.047622	-3231.033260	0.000024	0.000000	0.000000
645.000000	-3231.048607	-3231.032220	0.000025	0.000000	0.000000
685.000000	-3231.049657	-3231.031100	0.000027	0.000000	0.000000
725.000000	-3231.050775	-3231.029896	0.000029	0.000000	0.000000
765.000000	-3231.051962	-3231.028607	0.000031	0.000000	0.000000
805.000000	-3231.053221	-3231.027229	0.000032	0.000000	0.000000
845.000000	-3231.054548	-3231.025759	0.000034	0.000000	0.000000
885.000000	-3231.055947	-3231.024197	0.000036	0.000000	0.000000
925.000000	-3231.057419	-3231.022537	0.000038	0.000000	0.000000
965.000000	-3231.058965	-3231.020778	0.000040	0.000000	0.000000
1005.000000	-3231.060585	-3231.018918	0.000041	0.000000	0.000000
1045.000000	-3231.062280	-3231.016953	0.000043	0.000000	0.000000
1085.000000	-3231.064053	-3231.014882	0.000045	0.000000	0.000000
1125.000000	-3231.065905	-3231.012700	0.000047	0.000000	0.000000
1165.000000	-3231.067833	-3231.010407	0.000049	0.000000	0.000000
1205.000000	-3231.069843	-3231.007999	0.000051	0.000000	0.000000
1245.000000	-3231.071939	-3231.005473	0.000053	0.000000	0.000000
1285.000000	-3231.074113	-3231.002828	0.000055	0.000000	0.000000
1325.000000	-3231.076371	-3231.000059	0.000058	0.000000	0.000000
1365.000000	-3231.078714	-3230.997165	0.000060	0.000000	0.000000
1405.000000	-3231.081153	-3230.994144	0.000062	0.000000	0.000000
1445.000000	-3231.083672	-3230.990991	0.000064	0.000000	0.000000
1485.000000	-3231.086282	-3230.987705	0.000066	0.000000	0.000000
1525.000000	-3231.088982	-3230.984282	0.000069	0.000000	0.000000
1565.000000	-3231.091785	-3230.980719	0.000071	0.000000	0.000000
1605.000000	-3231.094672	-3230.977015	0.000073	0.000000	0.000000
1645.000000	-3231.097655	-3230.973165	0.000076	0.000000	0.000000
1685.000000	-3231.100738	-3230.969167	0.000078	0.000000	0.000000
1725.000000	-3231.103920	-3230.965018	0.000081	0.000000	0.000000
1765.000000	-3231.107195	-3230.960715	0.000083	0.000000	0.000000
1805.000000	-3231.110569	-3230.956255	0.000085	0.000000	0.000000
1845.000000	-3231.114049	-3230.951635	0.000088	0.000000	0.000000
1885.000000	-3231.117632	-3230.946852	0.000091	0.000000	0.000000
1925.000000	-3231.121312	-3230.941903	0.000093	0.000000	0.000000
1965.000000	-3231.125096	-3230.936785	0.000096	0.000000	0.000000
