Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):245.000000
58.930408	-3231.073486	-3231.073486	-3231.072453	0.000009	0.000017	-3231.074540
59.537941	-3231.107666	-3231.107666	-3231.106612	0.000009	0.000017	-3231.108720
60.145470	-3231.127441	-3231.127441	-3231.126363	0.000009	0.000018	-3231.128511
60.752998	-3231.133789	-3231.133789	-3231.132693	0.000009	0.000018	-3231.134873
61.360531	-3231.127686	-3231.127686	-3231.126562	0.000009	0.000018	-3231.128797
61.968060	-3231.109619	-3231.109619	-3231.108485	0.000009	0.000018	-3231.110742
62.575588	-3231.080322	-3231.080322	-3231.079169	0.000009	0.000019	-3231.081463
63.183121	-3231.040527	-3231.040527	-3231.039364	0.000009	0.000019	-3231.041676
63.790649	-3230.990723	-3230.990723	-3230.989549	0.000010	0.000019	-3230.991882
64.398178	-3230.931641	-3230.931641	-3230.930435	0.000010	0.000020	-3230.932836
