Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):325.000000
58.930408	-3231.073486	-3231.073486	-3231.071663	0.000011	0.000023	-3231.075333
59.537941	-3231.107666	-3231.107666	-3231.105812	0.000011	0.000023	-3231.109522
60.145470	-3231.127441	-3231.127441	-3231.125548	0.000012	0.000023	-3231.129327
60.752998	-3231.133789	-3231.133789	-3231.131862	0.000012	0.000024	-3231.135703
61.360531	-3231.127686	-3231.127686	-3231.125712	0.000012	0.000024	-3231.129647
61.968060	-3231.109619	-3231.109619	-3231.107625	0.000012	0.000024	-3231.111601
62.575588	-3231.080322	-3231.080322	-3231.078293	0.000012	0.000025	-3231.082336
63.183121	-3231.040527	-3231.040527	-3231.038480	0.000013	0.000025	-3231.042556
63.790649	-3230.990723	-3230.990723	-3230.988655	0.000013	0.000025	-3230.992770
64.398178	-3230.931641	-3230.931641	-3230.929515	0.000013	0.000026	-3230.933750
