T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.040527	0.000000e+00	-3231.040527
45.000000	-3231.040559	1.718354e-06	-3231.040482
85.000000	-3231.040659	3.268287e-06	-3231.040382
125.000000	-3231.040821	4.807255e-06	-3231.040220
165.000000	-3231.041044	6.348178e-06	-3231.039997
205.000000	-3231.041330	7.891791e-06	-3231.039712
245.000000	-3231.041676	9.437056e-06	-3231.039364
285.000000	-3231.042085	1.098652e-05	-3231.038954
325.000000	-3231.042556	1.254242e-05	-3231.038480
365.000000	-3231.043090	1.410630e-05	-3231.037941
405.000000	-3231.043685	1.567795e-05	-3231.037336
445.000000	-3231.044344	1.726043e-05	-3231.036663
485.000000	-3231.045068	1.885804e-05	-3231.035922
525.000000	-3231.045854	2.046802e-05	-3231.035109
565.000000	-3231.046706	2.209435e-05	-3231.034222
605.000000	-3231.047622	2.373875e-05	-3231.033260
645.000000	-3231.048607	2.540561e-05	-3231.032220
685.000000	-3231.049657	2.709093e-05	-3231.031100
725.000000	-3231.050775	2.879860e-05	-3231.029896
765.000000	-3231.051962	3.052973e-05	-3231.028607
805.000000	-3231.053221	3.228817e-05	-3231.027229
845.000000	-3231.054548	3.406900e-05	-3231.025759
885.000000	-3231.055947	3.587568e-05	-3231.024197
925.000000	-3231.057419	3.771017e-05	-3231.022537
965.000000	-3231.058965	3.957181e-05	-3231.020778
1005.000000	-3231.060585	4.145924e-05	-3231.018918
1045.000000	-3231.062280	4.337436e-05	-3231.016953
1085.000000	-3231.064053	4.531920e-05	-3231.014882
1125.000000	-3231.065905	4.729266e-05	-3231.012700
1165.000000	-3231.067833	4.929313e-05	-3231.010407
1205.000000	-3231.069843	5.132262e-05	-3231.007999
1245.000000	-3231.071939	5.338582e-05	-3231.005473
1285.000000	-3231.074113	5.547469e-05	-3231.002828
1325.000000	-3231.076371	5.759359e-05	-3231.000059
1365.000000	-3231.078714	5.974283e-05	-3230.997165
1405.000000	-3231.081153	6.192818e-05	-3230.994144
1445.000000	-3231.083672	6.413944e-05	-3230.990991
1485.000000	-3231.086282	6.638203e-05	-3230.987705
1525.000000	-3231.088982	6.865623e-05	-3230.984282
1565.000000	-3231.091785	7.096839e-05	-3230.980719
1605.000000	-3231.094672	7.330680e-05	-3230.977015
1645.000000	-3231.097655	7.567751e-05	-3230.973165
1685.000000	-3231.100738	7.808372e-05	-3230.969167
1725.000000	-3231.103920	8.052253e-05	-3230.965018
1765.000000	-3231.107195	8.299115e-05	-3230.960715
1805.000000	-3231.110569	8.549259e-05	-3230.956255
1845.000000	-3231.114049	8.802947e-05	-3230.951635
1885.000000	-3231.117632	9.059934e-05	-3230.946852
1925.000000	-3231.121312	9.319942e-05	-3230.941903
1965.000000	-3231.125096	9.583253e-05	-3230.936785
