Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1005.000000
58.930408	-3231.073486	-3231.073486	-3231.054770	0.000036	0.000070	-3231.091308
59.537941	-3231.107666	-3231.107666	-3231.088598	0.000037	0.000071	-3231.125718
60.145470	-3231.127441	-3231.127441	-3231.107943	0.000038	0.000072	-3231.145853
60.752998	-3231.133789	-3231.133789	-3231.113831	0.000039	0.000073	-3231.152549
61.360531	-3231.127686	-3231.127686	-3231.107298	0.000039	0.000075	-3231.146883
61.968060	-3231.109619	-3231.109619	-3231.088879	0.000040	0.000075	-3231.129067
62.575588	-3231.080322	-3231.080322	-3231.059088	0.000041	0.000077	-3231.100150
63.183121	-3231.040527	-3231.040527	-3231.018918	0.000041	0.000077	-3231.060585
63.790649	-3230.990723	-3230.990723	-3230.968841	0.000042	0.000078	-3231.010989
64.398178	-3230.931641	-3230.931641	-3230.909132	0.000043	0.000080	-3230.952504
