T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.043940	0.000000	0.000000e+00	nan	0.000000e+00
85.000000	0.088654	0.000000	0.000000e+00	nan	0.000000e+00
125.000000	0.132529	0.000000	0.000000e+00	nan	0.000000e+00
165.000000	0.190586	0.000000	0.000000e+00	nan	0.000000e+00
205.000000	0.234821	0.000000	0.000000e+00	nan	0.000000e+00
245.000000	0.280545	0.000000	0.000000e+00	nan	0.000000e+00
285.000000	0.328723	0.000000	0.000000e+00	nan	0.000000e+00
325.000000	0.398341	0.000000	0.000000e+00	nan	0.000000e+00
365.000000	0.455812	0.000000	0.000000e+00	nan	0.000000e+00
405.000000	0.518492	0.000000	0.000000e+00	nan	0.000000e+00
445.000000	0.586816	0.000000	0.000000e+00	nan	0.000000e+00
485.000000	0.686712	0.000000	0.000000e+00	nan	0.000000e+00
525.000000	0.768110	0.000000	0.000000e+00	nan	0.000000e+00
565.000000	0.854544	0.000000	0.000000e+00	nan	0.000000e+00
605.000000	0.976085	0.000000	0.000000e+00	nan	0.000000e+00
645.000000	1.070753	0.000000	0.000000e+00	nan	0.000000e+00
685.000000	1.167214	0.000000	0.000000e+00	nan	0.000000e+00
725.000000	1.264519	0.000000	0.000000e+00	nan	0.000000e+00
765.000000	1.393704	0.000000	0.000000e+00	nan	0.000000e+00
805.000000	1.489108	0.000000	0.000000e+00	nan	0.000000e+00
845.000000	1.582599	0.000000	0.000000e+00	nan	0.000000e+00
885.000000	1.673858	0.000000	0.000000e+00	nan	0.000000e+00
925.000000	1.792199	0.000000	0.000000e+00	nan	0.000000e+00
965.000000	1.878774	0.000000	0.000000e+00	nan	0.000000e+00
1005.000000	1.964162	0.000000	0.000000e+00	nan	0.000000e+00
1045.000000	2.049159	0.000000	0.000000e+00	nan	0.000000e+00
1085.000000	2.164076	0.000000	0.000000e+00	nan	0.000000e+00
1125.000000	2.253044	0.000000	0.000000e+00	nan	0.000000e+00
1165.000000	2.345846	0.000000	0.000000e+00	nan	0.000000e+00
1205.000000	2.443819	0.000000	0.000000e+00	nan	0.000000e+00
1245.000000	2.584784	0.000000	0.000000e+00	nan	0.000000e+00
1285.000000	2.699469	0.000000	0.000000e+00	nan	0.000000e+00
1325.000000	2.822721	0.000000	0.000000e+00	nan	0.000000e+00
1365.000000	3.001350	0.000000	0.000000e+00	nan	0.000000e+00
1405.000000	3.145901	0.000000	0.000000e+00	nan	0.000000e+00
1445.000000	3.299205	0.000000	0.000000e+00	nan	0.000000e+00
1485.000000	3.460699	0.000000	0.000000e+00	nan	0.000000e+00
1525.000000	3.687452	0.000000	0.000000e+00	nan	0.000000e+00
1565.000000	3.864363	0.000000	0.000000e+00	nan	0.000000e+00
1605.000000	4.045881	0.000000	0.000000e+00	nan	0.000000e+00
1645.000000	4.230619	0.000000	0.000000e+00	nan	0.000000e+00
1685.000000	4.479862	0.000000	0.000000e+00	nan	0.000000e+00
1725.000000	4.667014	0.000000	0.000000e+00	nan	0.000000e+00
1765.000000	4.853486	0.000000	0.000000e+00	nan	0.000000e+00
1805.000000	5.038411	0.000000	0.000000e+00	nan	0.000000e+00
1845.000000	5.281666	0.000000	0.000000e+00	nan	0.000000e+00
1885.000000	5.460574	0.000000	0.000000e+00	nan	0.000000e+00
1925.000000	5.636303	0.000000	0.000000e+00	nan	0.000000e+00
1965.000000	5.865447	0.000000	0.000000e+00	nan	0.000000e+00
