Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1285.000000
58.930408	-3231.073486	-3231.073486	-3231.041035	0.000048	0.000090	-3231.103127
59.537941	-3231.107666	-3231.107666	-3231.074560	0.000049	0.000090	-3231.137736
60.145470	-3231.127441	-3231.127441	-3231.093571	0.000050	0.000092	-3231.158130
60.752998	-3231.133789	-3231.133789	-3231.099105	0.000051	0.000093	-3231.165093
61.360531	-3231.127686	-3231.127686	-3231.092269	0.000052	0.000095	-3231.159705
61.968060	-3231.109619	-3231.109619	-3231.073538	0.000053	0.000096	-3231.142093
62.575588	-3231.080322	-3231.080322	-3231.043364	0.000055	0.000098	-3231.113467
63.183121	-3231.040527	-3231.040527	-3231.002828	0.000055	0.000099	-3231.074113
63.790649	-3230.990723	-3230.990723	-3230.952495	0.000056	0.000099	-3231.024680
64.398178	-3230.931641	-3230.931641	-3230.892369	0.000058	0.000102	-3230.966587
