Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1805.000000
58.930408	-3231.073486	-3231.073486	-3231.001320	0.000074	0.000126	-3231.134721
59.537941	-3231.107666	-3231.107666	-3231.033964	0.000075	0.000127	-3231.169913
60.145470	-3231.127441	-3231.127441	-3231.052018	0.000077	0.000129	-3231.191023
60.752998	-3231.133789	-3231.133789	-3231.056585	0.000079	0.000131	-3231.198730
61.360531	-3231.127686	-3231.127686	-3231.048834	0.000080	0.000134	-3231.194080
61.968060	-3231.109619	-3231.109619	-3231.029147	0.000082	0.000135	-3231.177081
62.575588	-3231.080322	-3231.080322	-3230.997921	0.000084	0.000137	-3231.149258
63.183121	-3231.040527	-3231.040527	-3230.956255	0.000085	0.000138	-3231.110569
63.790649	-3230.990723	-3230.990723	-3230.905021	0.000087	0.000140	-3231.061646
64.398178	-3230.931641	-3230.931641	-3230.843825	0.000089	0.000144	-3231.004558
