T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3230.931641	-3230.931641	0.000000	0.000000	0.000000
45.000000	-3230.931676	-3230.931596	0.000002	0.000000	0.000000
85.000000	-3230.931780	-3230.931492	0.000003	0.000000	0.000000
125.000000	-3230.931948	-3230.931324	0.000005	0.000000	0.000000
165.000000	-3230.932180	-3230.931092	0.000007	0.000000	0.000000
205.000000	-3230.932476	-3230.930796	0.000008	0.000000	0.000000
245.000000	-3230.932836	-3230.930435	0.000010	0.000000	0.000000
285.000000	-3230.933261	-3230.930008	0.000011	0.000000	0.000000
325.000000	-3230.933750	-3230.929515	0.000013	0.000000	0.000000
365.000000	-3230.934304	-3230.928955	0.000015	0.000000	0.000000
405.000000	-3230.934923	-3230.928325	0.000016	0.000000	0.000000
445.000000	-3230.935608	-3230.927625	0.000018	0.000000	0.000000
485.000000	-3230.936360	-3230.926853	0.000020	0.000000	0.000000
525.000000	-3230.937178	-3230.926006	0.000021	0.000000	0.000000
565.000000	-3230.938063	-3230.925083	0.000023	0.000000	0.000000
605.000000	-3230.939017	-3230.924081	0.000025	0.000000	0.000000
645.000000	-3230.940040	-3230.922997	0.000026	0.000000	0.000000
685.000000	-3230.941133	-3230.921829	0.000028	0.000000	0.000000
725.000000	-3230.942296	-3230.920574	0.000030	0.000000	0.000000
765.000000	-3230.943532	-3230.919230	0.000032	0.000000	0.000000
805.000000	-3230.944839	-3230.917793	0.000034	0.000000	0.000000
845.000000	-3230.946221	-3230.916262	0.000035	0.000000	0.000000
885.000000	-3230.947677	-3230.914633	0.000037	0.000000	0.000000
925.000000	-3230.949209	-3230.912903	0.000039	0.000000	0.000000
965.000000	-3230.950818	-3230.911070	0.000041	0.000000	0.000000
1005.000000	-3230.952504	-3230.909132	0.000043	0.000000	0.000000
1045.000000	-3230.954268	-3230.907084	0.000045	0.000000	0.000000
1085.000000	-3230.956114	-3230.904926	0.000047	0.000000	0.000000
1125.000000	-3230.958041	-3230.902653	0.000049	0.000000	0.000000
1165.000000	-3230.960049	-3230.900264	0.000051	0.000000	0.000000
1205.000000	-3230.962141	-3230.897756	0.000053	0.000000	0.000000
1245.000000	-3230.964321	-3230.895125	0.000056	0.000000	0.000000
1285.000000	-3230.966587	-3230.892369	0.000058	0.000000	0.000000
1325.000000	-3230.968939	-3230.889485	0.000060	0.000000	0.000000
1365.000000	-3230.971384	-3230.886471	0.000062	0.000000	0.000000
1405.000000	-3230.973916	-3230.883323	0.000064	0.000000	0.000000
1445.000000	-3230.976544	-3230.880038	0.000067	0.000000	0.000000
1485.000000	-3230.979262	-3230.876614	0.000069	0.000000	0.000000
1525.000000	-3230.982080	-3230.873047	0.000071	0.000000	0.000000
1565.000000	-3230.984989	-3230.869334	0.000074	0.000000	0.000000
1605.000000	-3230.988001	-3230.865473	0.000076	0.000000	0.000000
1645.000000	-3230.991108	-3230.861459	0.000079	0.000000	0.000000
1685.000000	-3230.994320	-3230.857291	0.000081	0.000000	0.000000
1725.000000	-3230.997633	-3230.852965	0.000084	0.000000	0.000000
1765.000000	-3231.001044	-3230.848477	0.000086	0.000000	0.000000
1805.000000	-3231.004558	-3230.843825	0.000089	0.000000	0.000000
1845.000000	-3231.008183	-3230.839005	0.000092	0.000000	0.000000
1885.000000	-3231.011912	-3230.834014	0.000094	0.000000	0.000000
1925.000000	-3231.015745	-3230.828849	0.000097	0.000000	0.000000
1965.000000	-3231.019685	-3230.823508	0.000100	0.000000	0.000000
