T(K)	A_lat(eV/cell)	A_e(eV/cell)	U_lat(eV/cell)	U_e(eV/cell)	S_lat(eV/cell)	S_e(eV/cell)	Rows
5.000000	0.000000	1.827061e-09	0.000000	1.827061e-09	0.000000	0.000000e+00	0
45.000000	0.000000	-3.208192e-05	0.000000	4.524400e-05	0.000000	1.718354e-06	8
85.000000	0.000000	-1.320398e-04	0.000000	1.457647e-04	0.000000	3.268287e-06	14
125.000000	0.000000	-2.936593e-04	0.000000	3.072476e-04	0.000000	4.807255e-06	20
165.000000	0.000000	-5.170148e-04	0.000000	5.304346e-04	0.000000	6.348178e-06	27
205.000000	0.000000	-8.022429e-04	0.000000	8.155742e-04	0.000000	7.891791e-06	34
245.000000	0.000000	-1.149015e-03	0.000000	1.163063e-03	0.000000	9.437056e-06	40
285.000000	0.000000	-1.557668e-03	0.000000	1.573491e-03	0.000000	1.098652e-05	46
325.000000	0.000000	-2.028631e-03	0.000000	2.047655e-03	0.000000	1.254242e-05	53
365.000000	0.000000	-2.562221e-03	0.000000	2.586580e-03	0.000000	1.410630e-05	60
405.000000	0.000000	-3.158028e-03	0.000000	3.191542e-03	0.000000	1.567795e-05	66
445.000000	0.000000	-3.816854e-03	0.000000	3.864039e-03	0.000000	1.726043e-05	72
485.000000	0.000000	-4.540357e-03	0.000000	4.605793e-03	0.000000	1.885804e-05	80
525.000000	0.000000	-5.326948e-03	0.000000	5.418762e-03	0.000000	2.046802e-05	86
565.000000	0.000000	-6.178244e-03	0.000000	6.305062e-03	0.000000	2.209435e-05	92
605.000000	0.000000	-7.094953e-03	0.000000	7.266988e-03	0.000000	2.373875e-05	98
645.000000	0.000000	-8.079657e-03	0.000000	8.306963e-03	0.000000	2.540561e-05	106
685.000000	0.000000	-9.129781e-03	0.000000	9.427506e-03	0.000000	2.709093e-05	112
725.000000	0.000000	-1.024778e-02	0.000000	1.063120e-02	0.000000	2.879860e-05	118
765.000000	0.000000	-1.143452e-02	0.000000	1.192072e-02	0.000000	3.052973e-05	124
805.000000	0.000000	-1.269327e-02	0.000000	1.329871e-02	0.000000	3.228817e-05	132
845.000000	0.000000	-1.402045e-02	0.000000	1.476785e-02	0.000000	3.406900e-05	138
885.000000	0.000000	-1.541916e-02	0.000000	1.633081e-02	0.000000	3.587568e-05	144
925.000000	0.000000	-1.689163e-02	0.000000	1.799027e-02	0.000000	3.771017e-05	151
965.000000	0.000000	-1.843793e-02	0.000000	1.974887e-02	0.000000	3.957181e-05	158
1005.000000	0.000000	-2.005732e-02	0.000000	2.160922e-02	0.000000	4.145924e-05	164
1045.000000	0.000000	-2.175227e-02	0.000000	2.357394e-02	0.000000	4.337436e-05	170
1085.000000	0.000000	-2.352569e-02	0.000000	2.564565e-02	0.000000	4.531920e-05	177
1125.000000	0.000000	-2.537732e-02	0.000000	2.782692e-02	0.000000	4.729266e-05	184
1165.000000	0.000000	-2.730612e-02	0.000000	3.012038e-02	0.000000	4.929313e-05	190
1205.000000	0.000000	-2.931519e-02	0.000000	3.252857e-02	0.000000	5.132262e-05	196
1245.000000	0.000000	-3.141117e-02	0.000000	3.505417e-02	0.000000	5.338582e-05	204
1285.000000	0.000000	-3.358517e-02	0.000000	3.769981e-02	0.000000	5.547469e-05	210
1325.000000	0.000000	-3.584337e-02	0.000000	4.046813e-02	0.000000	5.759359e-05	216
1365.000000	0.000000	-3.818709e-02	0.000000	4.336187e-02	0.000000	5.974283e-05	222
1405.000000	0.000000	-4.062541e-02	0.000000	4.638368e-02	0.000000	6.192818e-05	230
1445.000000	0.000000	-4.314510e-02	0.000000	4.953639e-02	0.000000	6.413944e-05	236
1485.000000	0.000000	-4.575451e-02	0.000000	5.282281e-02	0.000000	6.638203e-05	242
1525.000000	0.000000	-4.845509e-02	0.000000	5.624567e-02	0.000000	6.865623e-05	248
1565.000000	0.000000	-5.125760e-02	0.000000	5.980793e-02	0.000000	7.096839e-05	256
1605.000000	0.000000	-5.414488e-02	0.000000	6.351254e-02	0.000000	7.330680e-05	262
1645.000000	0.000000	-5.712726e-02	0.000000	6.736225e-02	0.000000	7.567751e-05	268
1685.000000	0.000000	-6.021090e-02	0.000000	7.136016e-02	0.000000	7.808372e-05	275
1725.000000	0.000000	-6.339230e-02	0.000000	7.550907e-02	0.000000	8.052253e-05	282
1765.000000	0.000000	-6.666727e-02	0.000000	7.981210e-02	0.000000	8.299115e-05	288
1805.000000	0.000000	-7.004191e-02	0.000000	8.427221e-02	0.000000	8.549259e-05	294
1845.000000	0.000000	-7.352205e-02	0.000000	8.889233e-02	0.000000	8.802947e-05	301
1885.000000	0.000000	-7.710427e-02	0.000000	9.367548e-02	0.000000	9.059934e-05	308
1925.000000	0.000000	-8.078438e-02	0.000000	9.862451e-02	0.000000	9.319942e-05	314
1965.000000	0.000000	-8.456842e-02	0.000000	1.037425e-01	0.000000	9.583253e-05	320
