Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):125.000000
58.930408	-3231.073486	-3231.073486	-3231.073223	0.000004	0.000009	-3231.073767
59.537941	-3231.107666	-3231.107666	-3231.107391	0.000004	0.000009	-3231.107940
60.145470	-3231.127441	-3231.127441	-3231.127157	0.000004	0.000009	-3231.127716
60.752998	-3231.133789	-3231.133789	-3231.133499	0.000005	0.000009	-3231.134066
61.360531	-3231.127686	-3231.127686	-3231.127388	0.000005	0.000009	-3231.127970
61.968060	-3231.109619	-3231.109619	-3231.109319	0.000005	0.000009	-3231.109907
62.575588	-3231.080322	-3231.080322	-3231.080018	0.000005	0.000010	-3231.080614
63.183121	-3231.040527	-3231.040527	-3231.040220	0.000005	0.000010	-3231.040821
63.790649	-3230.990723	-3230.990723	-3230.990412	0.000005	0.000010	-3230.991019
64.398178	-3230.931641	-3230.931641	-3230.931324	0.000005	0.000010	-3230.931948
