T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.109619	0.000000e+00	-3231.109619
45.000000	-3231.109651	1.681428e-06	-3231.109575
85.000000	-3231.109749	3.195910e-06	-3231.109477
125.000000	-3231.109907	4.699704e-06	-3231.109319
165.000000	-3231.110125	6.204240e-06	-3231.109101
205.000000	-3231.110404	7.709869e-06	-3231.108823
245.000000	-3231.110742	9.215405e-06	-3231.108485
285.000000	-3231.111141	1.072304e-05	-3231.108085
325.000000	-3231.111601	1.223471e-05	-3231.107625
365.000000	-3231.112121	1.375174e-05	-3231.107102
405.000000	-3231.112702	1.527387e-05	-3231.106516
445.000000	-3231.113343	1.680399e-05	-3231.105866
485.000000	-3231.114047	1.834469e-05	-3231.105150
525.000000	-3231.114813	1.989790e-05	-3231.104366
565.000000	-3231.115640	2.146303e-05	-3231.103513
605.000000	-3231.116530	2.304333e-05	-3231.102589
645.000000	-3231.117485	2.464318e-05	-3231.101591
685.000000	-3231.118504	2.625887e-05	-3231.100516
725.000000	-3231.119587	2.789434e-05	-3231.099363
765.000000	-3231.120737	2.955195e-05	-3231.098130
805.000000	-3231.121954	3.123219e-05	-3231.096812
845.000000	-3231.123237	3.293385e-05	-3231.095408
885.000000	-3231.124589	3.465933e-05	-3231.093916
925.000000	-3231.126011	3.641062e-05	-3231.092332
965.000000	-3231.127504	3.818721e-05	-3231.090654
1005.000000	-3231.129067	3.998792e-05	-3231.088879
1045.000000	-3231.130701	4.181463e-05	-3231.087005
1085.000000	-3231.132411	4.366934e-05	-3231.085030
1125.000000	-3231.134195	4.555104e-05	-3231.082950
1165.000000	-3231.136052	4.745832e-05	-3231.080763
1205.000000	-3231.137986	4.939308e-05	-3231.078467
1245.000000	-3231.140003	5.135969e-05	-3231.076060
1285.000000	-3231.142093	5.335077e-05	-3231.073538
1325.000000	-3231.144264	5.537033e-05	-3231.070899
1365.000000	-3231.146517	5.741870e-05	-3231.068140
1405.000000	-3231.148859	5.950129e-05	-3231.065260
1445.000000	-3231.151279	6.160858e-05	-3231.062255
1485.000000	-3231.153784	6.374563e-05	-3231.059122
1525.000000	-3231.156380	6.591548e-05	-3231.055859
1565.000000	-3231.159066	6.811607e-05	-3231.052464
1605.000000	-3231.161836	7.034436e-05	-3231.048933
1645.000000	-3231.164696	7.260346e-05	-3231.045264
1685.000000	-3231.167654	7.489653e-05	-3231.041453
1725.000000	-3231.170705	7.722080e-05	-3231.037499
1765.000000	-3231.173845	7.957341e-05	-3231.033398
1805.000000	-3231.177081	8.195740e-05	-3231.029147
1845.000000	-3231.180417	8.437552e-05	-3231.024744
1885.000000	-3231.183852	8.682511e-05	-3231.020186
1925.000000	-3231.187379	8.930346e-05	-3231.015470
1965.000000	-3231.191006	9.181335e-05	-3231.010593
