Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):925.000000
58.930408	-3231.073486	-3231.073486	-3231.057863	0.000033	0.000065	-3231.088528
59.537941	-3231.107666	-3231.107666	-3231.091757	0.000034	0.000065	-3231.122894
60.145470	-3231.127441	-3231.127441	-3231.111177	0.000034	0.000066	-3231.142969
60.752998	-3231.133789	-3231.133789	-3231.117147	0.000035	0.000067	-3231.149604
61.360531	-3231.127686	-3231.127686	-3231.110683	0.000036	0.000069	-3231.143872
61.968060	-3231.109619	-3231.109619	-3231.092332	0.000036	0.000069	-3231.126011
62.575588	-3231.080322	-3231.080322	-3231.062629	0.000037	0.000070	-3231.097029
63.183121	-3231.040527	-3231.040527	-3231.022537	0.000038	0.000071	-3231.057419
63.790649	-3230.990723	-3230.990723	-3230.972513	0.000038	0.000072	-3231.007787
64.398178	-3230.931641	-3230.931641	-3230.912903	0.000039	0.000074	-3230.949209
