Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1485.000000
58.930408	-3231.073486	-3231.073486	-3231.028128	0.000058	0.000104	-3231.113706
59.537941	-3231.107666	-3231.107666	-3231.061367	0.000059	0.000104	-3231.148498
60.145470	-3231.127441	-3231.127441	-3231.080067	0.000060	0.000106	-3231.169130
60.752998	-3231.133789	-3231.133789	-3231.085282	0.000061	0.000108	-3231.176340
61.360531	-3231.127686	-3231.127686	-3231.078155	0.000063	0.000110	-3231.171199
61.968060	-3231.109619	-3231.109619	-3231.059122	0.000064	0.000111	-3231.153784
62.575588	-3231.080322	-3231.080322	-3231.028601	0.000065	0.000113	-3231.125425
63.183121	-3231.040527	-3231.040527	-3230.987705	0.000066	0.000114	-3231.086282
63.790649	-3230.990723	-3230.990723	-3230.937102	0.000067	0.000115	-3231.037011
64.398178	-3230.931641	-3230.931641	-3230.876614	0.000069	0.000118	-3230.979262
