T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.080322	0.000000e+00	-3231.080322
45.000000	-3231.080355	1.707784e-06	-3231.080278
85.000000	-3231.080454	3.244974e-06	-3231.080178
125.000000	-3231.080614	4.772479e-06	-3231.080018
165.000000	-3231.080836	6.301354e-06	-3231.079796
205.000000	-3231.081119	7.832137e-06	-3231.079514
245.000000	-3231.081463	9.363766e-06	-3231.079169
285.000000	-3231.081869	1.089860e-05	-3231.078763
325.000000	-3231.082336	1.243871e-05	-3231.078293
365.000000	-3231.082865	1.398549e-05	-3231.077760
405.000000	-3231.083456	1.553871e-05	-3231.077163
445.000000	-3231.084109	1.710131e-05	-3231.076499
485.000000	-3231.084825	1.867591e-05	-3231.075767
525.000000	-3231.085604	2.026441e-05	-3231.074965
565.000000	-3231.086447	2.186612e-05	-3231.074092
605.000000	-3231.087354	2.348427e-05	-3231.073146
645.000000	-3231.088328	2.512321e-05	-3231.072123
685.000000	-3231.089366	2.677905e-05	-3231.071022
725.000000	-3231.090471	2.845567e-05	-3231.069841
765.000000	-3231.091644	3.015537e-05	-3231.068575
805.000000	-3231.092886	3.187850e-05	-3231.067224
845.000000	-3231.094196	3.362380e-05	-3231.065784
885.000000	-3231.095577	3.539354e-05	-3231.064253
925.000000	-3231.097029	3.718973e-05	-3231.062629
965.000000	-3231.098554	3.901175e-05	-3231.060908
1005.000000	-3231.100150	4.085834e-05	-3231.059088
1045.000000	-3231.101820	4.273139e-05	-3231.057166
1085.000000	-3231.103567	4.463292e-05	-3231.055141
1125.000000	-3231.105391	4.656188e-05	-3231.053009
1165.000000	-3231.107289	4.851676e-05	-3231.050767
1205.000000	-3231.109267	5.049956e-05	-3231.048415
1245.000000	-3231.111326	5.251263e-05	-3231.045948
1285.000000	-3231.113467	5.455474e-05	-3231.043364
1325.000000	-3231.115687	5.662361e-05	-3231.040661
1365.000000	-3231.117991	5.872177e-05	-3231.037836
1405.000000	-3231.120387	6.085479e-05	-3231.034886
1445.000000	-3231.122862	6.301281e-05	-3231.031809
1485.000000	-3231.125425	6.520113e-05	-3231.028601
1525.000000	-3231.128081	6.742284e-05	-3231.025261
1565.000000	-3231.130828	6.967578e-05	-3231.021785
1605.000000	-3231.133662	7.195692e-05	-3231.018171
1645.000000	-3231.136588	7.426945e-05	-3231.014415
1685.000000	-3231.139614	7.661655e-05	-3231.010515
1725.000000	-3231.142735	7.899536e-05	-3231.006468
1765.000000	-3231.145948	8.140313e-05	-3231.002271
1805.000000	-3231.149258	8.384289e-05	-3230.997921
1845.000000	-3231.152671	8.631732e-05	-3230.993415
1885.000000	-3231.156184	8.882390e-05	-3230.988750
1925.000000	-3231.159792	9.135987e-05	-3230.983924
1965.000000	-3231.163502	9.392805e-05	-3230.978933
