Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):805.000000
58.930408	-3231.073486	-3231.073486	-3231.061880	0.000029	0.000056	-3231.084827
59.537941	-3231.107666	-3231.107666	-3231.095859	0.000029	0.000057	-3231.119138
60.145470	-3231.127441	-3231.127441	-3231.115375	0.000030	0.000058	-3231.139136
60.752998	-3231.133789	-3231.133789	-3231.121452	0.000030	0.000058	-3231.145693
61.360531	-3231.127686	-3231.127686	-3231.115077	0.000031	0.000060	-3231.139872
61.968060	-3231.109619	-3231.109619	-3231.096812	0.000031	0.000060	-3231.121954
62.575588	-3231.080322	-3231.080322	-3231.067224	0.000032	0.000061	-3231.092886
63.183121	-3231.040527	-3231.040527	-3231.027229	0.000032	0.000062	-3231.053221
63.790649	-3230.990723	-3230.990723	-3230.977269	0.000033	0.000062	-3231.003543
64.398178	-3230.931641	-3230.931641	-3230.917793	0.000034	0.000064	-3230.944839
