Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):1765.000000
58.930408	-3231.073486	-3231.073486	-3231.005117	0.000072	0.000123	-3231.131799
59.537941	-3231.107666	-3231.107666	-3231.037847	0.000073	0.000124	-3231.166936
60.145470	-3231.127441	-3231.127441	-3231.055993	0.000075	0.000126	-3231.187983
60.752998	-3231.133789	-3231.133789	-3231.060651	0.000076	0.000128	-3231.195621
61.360531	-3231.127686	-3231.127686	-3231.052990	0.000078	0.000131	-3231.190903
61.968060	-3231.109619	-3231.109619	-3231.033398	0.000080	0.000132	-3231.173845
62.575588	-3231.080322	-3231.080322	-3231.002271	0.000081	0.000134	-3231.145948
63.183121	-3231.040527	-3231.040527	-3230.960715	0.000083	0.000135	-3231.107195
63.790649	-3230.990723	-3230.990723	-3230.909575	0.000084	0.000137	-3231.058222
64.398178	-3230.931641	-3230.931641	-3230.848477	0.000086	0.000141	-3231.001044
